,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1360,패배,케넨,Kingen,4,8,0,0.5
1,1360,패배,카직스,PuncHh,0,5,2,0.4
2,1360,패배,말자하,지현이의빗자루,1,4,0,0.25
3,1360,패배,미스 포츈,담원 얼라이브,1,3,1,0.6666666666666666
4,1360,패배,알리스타,IGS Coli,0,5,3,0.6
5,1360,승리,잭스,나네쫓다꿈소년,6,2,3,4.5
6,1360,승리,자르반 4세,M1anhua,8,0,5,inf
7,1360,승리,탈리야,송하영 팬,4,2,4,4.0
8,1360,승리,진,김메피,5,1,4,9.0
9,1360,승리,쉔,JAG S0hwan,2,1,8,10.0
10,1361,패배,잭스,TOP아빠,3,6,4,1.1666666666666667
11,1361,패배,세주아니,담원 크러쉬,3,6,11,2.3333333333333335
12,1361,패배,탈리야,IGS Dasher,7,6,4,1.8333333333333333
13,1361,패배,칼리스타,담원 얼라이브,8,4,5,3.25
14,1361,패배,바드,Lvmao,1,8,13,1.75
15,1361,승리,제이스,MVP ADD,8,5,8,3.2
16,1361,승리,자르반 4세,수입뿌드,7,8,13,2.5
17,1361,승리,코르키,ysdgqxcj,6,4,11,4.25
18,1361,승리,진,DWG BeryL,8,2,10,9.0
19,1361,승리,쓰레쉬,supbest,1,3,19,6.666666666666667
20,1362,패배,잭스,뒷텔와드점,8,9,4,1.3333333333333333
21,1362,패배,자르반 4세,DaYE,1,9,12,1.4444444444444444
22,1362,패배,라이즈,담원 얼라이브,5,7,3,1.1428571428571428
23,1362,패배,진,LPL noob ad QAQ,9,9,7,1.7777777777777777
24,1362,패배,카르마,Lucete,4,8,14,2.25
25,1362,승리,카밀,미율치에오,4,8,13,2.125
26,1362,승리,렝가,SKT T1 WoIf,20,3,7,9.0
27,1362,승리,르블랑,DWG ShowMaker,10,3,14,8.0
28,1362,승리,미스 포츈,RRRuleRRR,4,8,9,1.625
29,1362,승리,알리스타,DWG BeryL,4,5,17,4.2
30,1363,승리,제이스,mcmglllc,1,4,1,0.5
31,1363,승리,카직스,FeelsSosoMan,1,1,1,2.0
32,1363,승리,카사딘,By myself,0,1,1,1.0
33,1363,승리,칼리스타,담원 얼라이브,3,0,1,inf
34,1363,승리,쓰레쉬,선기박,0,0,4,inf
35,1363,패배,카밀,담원 너구리,3,2,0,1.5
36,1363,패배,렉사이,Wilder,3,0,0,inf
37,1363,패배,말자하,Heart,0,0,0,
38,1363,패배,바루스,mide gui tou,0,2,0,0.0
39,1363,패배,벨코즈,MSC TRY,0,1,2,2.0
