,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,561,승리,피오라,뒷텔와드점,4,1,5,9.0
1,561,승리,카직스,Twink1e,7,5,10,3.4
2,561,승리,카타리나,h1rb,10,4,12,5.5
3,561,승리,미스 포츈,혼자해도충분하다,5,3,10,5.0
4,561,승리,쉔,Afreeca Kuro,8,1,18,26.0
5,561,패배,카밀,쌀국수뚝붸기,1,8,2,0.375
6,561,패배,니달리,담원 크러쉬,6,7,4,1.4285714285714286
7,561,패배,말자하,겸손하고 근면한,4,7,3,1.0
8,561,패배,칼리스타,혼자가 편해졌어,2,8,5,0.875
9,561,패배,알리스타,춘봉박,1,4,7,2.0
10,562,패배,블라디미르,뒷텔와드점,1,4,4,1.25
11,562,패배,카직스,DaYE,3,7,1,0.5714285714285714
12,562,패배,탈리야,Lucete,3,5,3,1.2
13,562,패배,미스 포츈,Please find it,1,10,5,0.6
14,562,패배,브라움,Yumemiru Shonen,1,5,5,1.2
15,562,승리,쉔,비 브이 오 와이,4,0,11,inf
16,562,승리,자르반 4세,MooJin,5,1,6,11.0
17,562,승리,조이,2Kano,9,3,6,5.0
18,562,승리,칼리스타,RRRuleRRR,9,2,6,7.5
19,562,승리,모르가나,BtC Joker,4,3,16,6.666666666666667
20,563,패배,제이스,뒷텔와드점,1,10,6,0.7
21,563,패배,카직스,DaYE,13,7,6,2.7142857142857144
22,563,패배,탈리야,마산가자,2,8,9,1.375
23,563,패배,애쉬,161561,6,7,9,2.142857142857143
24,563,패배,모르가나,BtC Joker,3,8,12,1.875
25,563,승리,오른,지현이의빗자루,11,4,10,5.25
26,563,승리,신 짜오,yizhiyu,16,3,10,8.666666666666666
27,563,승리,라이즈,FeelsAwesomeMan,6,6,11,2.8333333333333335
28,563,승리,트리스타나,RRRuleRRR,3,8,9,1.5
29,563,승리,알리스타,IGS Coli,4,4,20,6.0
30,564,패배,오른,뒷텔와드점,5,6,11,2.6666666666666665
31,564,패배,세주아니,마산가자,4,7,8,1.7142857142857142
32,564,패배,탈리야,Lucete,9,5,12,4.2
33,564,패배,진,RRRuleRRR,4,11,2,0.5454545454545454
34,564,패배,제라스,FeelsAwesomeMan,6,11,8,1.2727272727272727
35,564,승리,라이즈,아테나찡,4,7,6,1.4285714285714286
36,564,승리,렝가,DaYE,10,4,7,4.25
37,564,승리,코르키,APK Rainbow,15,5,4,3.8
38,564,승리,트리스타나,LPL noob ad QAQ,9,5,10,3.8
39,564,승리,알리스타,먹는건즐거워,2,7,19,3.0
40,565,패배,잭스,뒷텔와드점,8,9,4,1.3333333333333333
41,565,패배,자르반 4세,DaYE,1,9,12,1.4444444444444444
42,565,패배,라이즈,담원 얼라이브,5,7,3,1.1428571428571428
43,565,패배,진,LPL noob ad QAQ,9,9,7,1.7777777777777777
44,565,패배,카르마,Lucete,4,8,14,2.25
45,565,승리,카밀,미율치에오,4,8,13,2.125
46,565,승리,렝가,SKT T1 WoIf,20,3,7,9.0
47,565,승리,르블랑,DWG ShowMaker,10,3,14,8.0
48,565,승리,미스 포츈,RRRuleRRR,4,8,9,1.625
49,565,승리,알리스타,DWG BeryL,4,5,17,4.2
50,566,승리,케넨,뒷텔와드점,4,0,3,inf
51,566,승리,렝가,SKT T1 WoIf,4,1,5,9.0
52,566,승리,조이,마산가자,5,0,3,inf
53,566,승리,미스 포츈,Afreeca Aiming,3,3,9,4.0
54,566,승리,쉔,Lvmao,4,0,7,inf
55,566,패배,갱플랭크,RVS Poss,1,4,1,0.5
56,566,패배,카직스,h1rb,1,1,1,2.0
57,566,패배,아지르,FW Maple,1,5,0,0.2
58,566,패배,진,DWG BeryL,1,5,1,0.4
59,566,패배,알리스타,토마토페이스트,0,5,2,0.4
60,567,승리,제이스,뒷텔와드점,6,7,3,1.2857142857142858
61,567,승리,쉬바나,yizhiyu,6,2,9,7.5
62,567,승리,아지르,FW Maple,7,2,5,6.0
63,567,승리,바루스,Yeeclipse,5,3,11,5.333333333333333
64,567,승리,블리츠크랭크,SKT T1 WoIf,1,5,10,2.2
65,567,패배,나르,나는야베이베이1,1,7,4,0.7142857142857143
66,567,패배,카직스,Afreeca M0wgli,5,4,4,2.25
67,567,패배,탈리야,마산가자,7,5,5,2.4
68,567,패배,진,DWG BeryL,4,3,6,3.3333333333333335
69,567,패배,쉔,By myself,2,6,11,2.1666666666666665
70,568,승리,리산드라,Kimimaro,6,3,7,4.333333333333333
71,568,승리,자르반 4세,갱만가드림,7,2,14,10.5
72,568,승리,조이,멘탈 실력 운,6,2,9,7.5
73,568,승리,진,장난 꾸러기 돼지,6,1,9,15.0
74,568,승리,쉔,뒷텔와드점,6,0,11,inf
75,568,패배,카밀,이재훈다딱,3,8,2,0.625
76,568,패배,세주아니,수지Suzy,1,5,2,0.6
77,568,패배,르블랑,마산가자,4,5,1,1.0
78,568,패배,이즈리얼,reMember Mistake,0,6,3,0.5
79,568,패배,카르마,SKT T1 WoIf,0,7,1,0.14285714285714285
80,569,승리,갱플랭크,뒷텔와드점,4,7,10,2.0
81,569,승리,카직스,SKT T1 WoIf,8,7,7,2.142857142857143
82,569,승리,라이즈,FW Maple,6,1,6,12.0
83,569,승리,이즈리얼,RRRuleRRR,6,6,7,2.1666666666666665
84,569,승리,쉔,먹는건즐거워,3,2,14,8.5
85,569,패배,나르,피넛사냥개2,8,3,2,3.3333333333333335
86,569,패배,자르반 4세,sanspareil1,5,5,7,2.4
87,569,패배,카사딘,PeanuToT,5,7,2,1.0
88,569,패배,미스 포츈,Afreeca Aiming,4,5,7,2.2
89,569,패배,바드,리인제이,1,7,10,1.5714285714285714
90,570,승리,갱플랭크,뒷텔와드점,4,0,2,inf
91,570,승리,카직스,SKT T1 WoIf,12,2,4,8.0
92,570,승리,말자하,상어가족,3,4,4,1.75
93,570,승리,칼리스타,RRRuleRRR,8,2,4,6.0
94,570,승리,브라움,sanspareil1,1,2,11,6.0
95,570,패배,사이온,피넛사냥개2,1,2,3,2.0
96,570,패배,세주아니,갱만가드림,1,5,6,1.4
97,570,패배,조이,KDM PERT,3,7,3,0.8571428571428571
98,570,패배,이즈리얼,Afreeca Aiming,0,7,2,0.2857142857142857
99,570,패배,제라스,다시 돌아갈까요,5,7,2,1.0
100,571,패배,갱플랭크,뒷텔와드점,5,7,8,1.8571428571428572
101,571,패배,엘리스,9346,3,6,14,2.8333333333333335
102,571,패배,탈리야,KDM PERT,10,2,9,9.5
103,571,패배,미스 포츈,혼자해도충분하다,7,7,12,2.7142857142857144
104,571,패배,르블랑,박효신사생팬,5,4,18,5.75
105,571,승리,말파이트,Shi  Yue,7,4,9,4.0
106,571,승리,쉬바나,Heiz4,5,11,11,1.4545454545454546
107,571,승리,라이즈,피넛사냥개2,3,3,6,3.0
108,571,승리,진,바보팀원,9,8,5,1.75
109,571,승리,타릭,삼성갤럭시CoreJJ,2,6,17,3.1666666666666665
110,572,패배,잭스,뒷텔와드점,1,7,1,0.2857142857142857
111,572,패배,자르반 4세,Destined,2,3,4,2.0
112,572,패배,자이라,슼코치청소슼삭,1,5,2,0.6
113,572,패배,애쉬,DWG BeryL,0,5,2,0.4
114,572,패배,미스 포츈,walking300 fan,4,2,1,2.5
115,572,승리,갱플랭크,Shi  Yue,6,3,4,3.3333333333333335
116,572,승리,쉬바나,Cuz2,6,2,2,4.0
117,572,승리,카서스,벤센트불탄,4,0,5,inf
118,572,승리,진,RRRuleRRR,5,2,2,3.5
119,572,승리,타릭,삼성갤럭시CoreJJ,1,1,9,10.0
120,573,패배,제이스,뒷텔와드점,4,5,4,1.6
121,573,패배,케인,춘봉박,7,7,4,1.5714285714285714
122,573,패배,라이즈,FW Maple,3,2,5,4.0
123,573,패배,미스 포츈,deft123456,0,6,5,0.8333333333333334
124,573,패배,잔나,Jisu,1,10,6,0.7
125,573,승리,마오카이,Kingen,2,4,4,1.5
126,573,승리,세주아니,259x,4,3,10,4.666666666666667
