,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,921,승리,올라프,포차이니즈켄트윈,5,1,3,8.0
1,921,승리,니달리,나는야베이베이1,7,1,5,12.0
2,921,승리,말자하,1987 Plls,2,1,2,4.0
3,921,승리,드레이븐,JackeyLove,0,2,9,4.5
4,921,승리,쓰레쉬,로리쇼타조아욘,2,2,9,5.5
5,921,패배,케넨,담원 너구리,0,4,4,1.0
6,921,패배,세주아니,튀자튀자아,4,2,1,2.5
7,921,패배,탈론,이치방츠요이야츠,2,4,1,0.75
8,921,패배,미스 포츈,Avicii fans,1,3,3,1.3333333333333333
9,921,패배,탐 켄치,꼬맹이전쟁,0,3,3,1.0
10,922,패배,카밀,로리쇼타조아욘,2,3,0,0.6666666666666666
11,922,패배,리 신,Afreeca Kramer,1,4,2,0.75
12,922,패배,말자하,KDM PERT,1,2,0,0.5
13,922,패배,미스 포츈,JackeyLove,1,5,2,0.6
14,922,패배,제라스,진쟤승,1,6,2,0.5
15,922,승리,갱플랭크,최초공개할게요오,4,1,10,14.0
16,922,승리,렝가,커닝시티 피그미,8,1,2,10.0
17,922,승리,오리아나,Afreeca Aiming,2,3,5,2.3333333333333335
18,922,승리,진,구름꽃길만걷자,5,0,6,inf
19,922,승리,알리스타,천천히올라감,1,1,12,13.0
20,923,승리,코르키,옷벗고춤추고싶다,15,6,9,4.0
21,923,승리,바루스,구름꽃길만걷자,4,4,11,3.75
22,923,승리,카밀,로리쇼타조아욘,11,4,11,5.5
23,923,승리,엘리스,마이엠브,6,5,9,3.0
24,923,승리,미스 포츈,YserAoA,3,4,12,3.75
25,923,패배,갱플랭크,최초공개할게요오,2,11,10,1.0909090909090908
26,923,패배,진,Misdate,4,9,5,1.0
27,923,패배,아지르,푸딩은푸딩해,6,5,4,2.0
28,923,패배,자르반 4세,Heart,7,7,13,2.857142857142857
29,923,패배,탐 켄치,A weak youth,4,7,12,2.2857142857142856
30,924,패배,마오카이,Kingen,3,5,7,2.0
31,924,패배,헤카림,로리쇼타조아욘,6,5,5,2.2
32,924,패배,신드라,말고 계속 항복,1,6,2,0.5
33,924,패배,진,nekoneko1,3,4,3,1.5
34,924,패배,블리츠크랭크,Deft1,0,9,7,0.7777777777777778
35,924,승리,일라오이,1987 Plls,4,2,4,4.0
36,924,승리,니달리,니달리버프좀해줘,10,2,9,9.5
37,924,승리,조이,PawN God,9,2,8,8.5
38,924,승리,애쉬,God보보,3,4,5,2.0
39,924,승리,사이온,MataMataMata,3,4,14,4.25
40,925,승리,카밀,로리쇼타조아욘,7,2,6,6.5
41,925,승리,엘리스,Jacen,2,2,8,5.0
42,925,승리,카사딘,Republic123,10,2,4,7.0
43,925,승리,트위치,Creative Self,4,2,6,5.0
44,925,승리,소라카,최석배 사생팬,0,1,17,17.0
45,925,패배,쉔,rainbow321,0,2,5,2.5
46,925,패배,니달리,니달리버프좀해줘,4,6,5,1.5
47,925,패배,신드라,마산가자,1,3,3,1.3333333333333333
48,925,패배,코그모,Atlen,4,5,3,1.4
49,925,패배,탐 켄치,12월27,0,7,4,0.5714285714285714
50,926,패배,카밀,덤벼보던가,9,17,4,0.7647058823529411
51,926,패배,헤카림,로리쇼타조아욘,11,4,6,4.25
52,926,패배,아지르,Republic123,9,8,7,2.0
53,926,패배,바루스,어껭간만에찾아뵙,0,8,8,1.0
54,926,패배,제라스,MSC TRY,6,5,4,2.0
55,926,승리,갱플랭크,Afreeca Summit,8,10,8,1.6
56,926,승리,엘리스,9346,12,7,5,2.4285714285714284
57,926,승리,탈리야,kt Ucal,11,9,8,2.111111111111111
58,926,승리,미스 포츈,Atlen,8,8,15,2.875
59,926,승리,브라움,atlenismydaddy,3,1,25,28.0
60,927,승리,카밀,로리쇼타조아욘,2,4,7,2.25
61,927,승리,카직스,cbzOvO,9,4,8,4.25
62,927,승리,모르가나,MSC TRY,7,1,7,14.0
63,927,승리,이즈리얼,BtC Hollow,8,4,7,3.75
64,927,승리,카르마,APK Rainbow,2,3,19,7.0
65,927,패배,일라오이,xaxaxaxaxa,3,4,4,1.75
66,927,패배,엘리스,XinyiQAQ,2,7,4,0.8571428571428571
67,927,패배,제드,KDM PERT,6,6,1,1.1666666666666667
68,927,패배,미스 포츈,땅우양,1,6,5,1.0
69,927,패배,제라스,WangChen,4,5,3,1.4
70,928,패배,나르,WENJUNXI,0,6,3,0.5
71,928,패배,헤카림,로리쇼타조아욘,3,2,1,2.0
72,928,패배,라이즈,세메론,1,2,0,0.5
73,928,패배,바루스,STITCH1,0,3,0,0.0
74,928,패배,알리스타,12월27,0,5,0,0.0
75,928,승리,제이스,Afreeca Summit,5,3,4,3.0
76,928,승리,자르반 4세,집중의문제다,7,0,2,inf
77,928,승리,오리아나,LFT MID,2,0,6,inf
78,928,승리,미스 포츈,Lucete,2,1,2,4.0
79,928,승리,레오나,Avon1,2,0,7,inf
80,929,승리,카밀,Gon123,12,4,8,5.0
81,929,승리,헤카림,로리쇼타조아욘,17,8,15,4.0
82,929,승리,아지르,집중의문제다,6,9,15,2.3333333333333335
83,929,승리,미스 포츈,선비모드,7,8,14,2.625
84,929,승리,탐 켄치,호경모드,3,5,21,4.8
85,929,패배,케넨,커피물조절장인,6,9,11,1.8888888888888888
86,929,패배,자르반 4세,피넛사냥개1,9,12,16,2.0833333333333335
87,929,패배,르블랑,나라카일,7,9,10,1.8888888888888888
88,929,패배,진,fndasjkfkqw,10,7,14,3.4285714285714284
89,929,패배,알리스타,1 Peak,2,8,18,2.5
90,930,패배,오른,리인제이,1,5,2,0.6
91,930,패배,헤카림,로리쇼타조아욘,4,7,1,0.7142857142857143
92,930,패배,라이즈,R4phael,4,4,2,1.5
93,930,패배,바루스,Heart,2,7,7,1.2857142857142858
94,930,패배,제라스,supbest,0,7,7,1.0
95,930,승리,나르,ROX Hoon,4,0,6,inf
96,930,승리,렝가,나는야베이베이1,9,3,6,5.0
97,930,승리,베이가,이치방츠요이야츠,4,2,4,4.0
98,930,승리,시비르,양충하,5,1,10,15.0
99,930,승리,조이,DWG BeryL,8,5,6,2.8
100,931,승리,신지드,baramgaebi,6,4,16,5.5
101,931,승리,헤카림,로리쇼타조아욘,10,2,10,10.0
102,931,승리,카사딘,TeachersWu,12,4,6,4.5
103,931,승리,코그모,fndasjkfkqw,7,4,6,3.25
104,931,승리,카르마,상어가족,2,4,17,4.75
105,931,패배,케넨,Like Waves,2,10,7,0.9
106,931,패배,리 신,호주 AD,5,10,5,1.0
