,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1759,승리,나르,카페베네설탕도둑,7,3,10,5.666666666666667
1,1759,승리,카직스,chijixuanshou,6,3,14,6.666666666666667
2,1759,승리,베이가,ZhanQiHuaYm,7,4,7,3.5
3,1759,승리,바루스,멘탈 실력 운,10,1,9,19.0
4,1759,승리,알리스타,루시퍼메이데이,0,4,17,4.25
5,1759,패배,케넨,Delicious Fish,5,7,3,1.1428571428571428
6,1759,패배,세주아니,점점나의마음이끌,4,7,8,1.7142857142857142
7,1759,패배,조이,FeelsAwesomeMan,4,4,3,1.75
8,1759,패배,미스 포츈,6학년4반장용준,2,4,3,1.25
9,1759,패배,블리츠크랭크,삼성갤럭시 Crown,0,8,6,0.75
10,1760,패배,갱플랭크,귤수호자 만기,5,6,7,2.0
11,1760,패배,니달리,So1o,10,8,6,2.0
12,1760,패배,탈리야,푸딩은푸딩해,6,5,6,2.4
13,1760,패배,미스 포츈,루시퍼메이데이,1,5,9,2.0
14,1760,패배,쓰레쉬,A weak youth,0,7,10,1.4285714285714286
15,1760,승리,카밀,Heiz4,6,10,8,1.4
16,1760,승리,카직스,Afreeca M0wgli,13,1,6,19.0
17,1760,승리,조이,피넛사냥개1,3,4,15,4.5
18,1760,승리,진,스마트섹시뷰티,7,2,9,8.0
19,1760,승리,알리스타,토마토페이스트,2,5,14,3.2
20,1761,승리,오른,Kingen,9,4,24,8.25
21,1761,승리,카직스,WENJUNXI,14,5,13,5.4
22,1761,승리,카사딘,입이더러운사람,10,9,12,2.4444444444444446
23,1761,승리,진,튀자튀자아,9,10,19,2.8
24,1761,승리,브라움,루시퍼메이데이,3,4,32,8.75
25,1761,패배,자르반 4세,Republic123,4,9,18,2.4444444444444446
26,1761,패배,렝가,SKT T1 WoIf,5,10,7,1.2
27,1761,패배,라이즈,FW Maple,8,10,15,2.3
28,1761,패배,트리스타나,SKT T1 Bang,9,8,5,1.75
29,1761,패배,알리스타,Do LaoN,5,8,20,3.125
30,1762,승리,블라디미르,kfo,7,5,6,2.6
31,1762,승리,니달리,DS XiaoPeng,14,4,12,6.5
32,1762,승리,트위스티드 페이트,상어가족,2,4,12,3.5
33,1762,승리,트리스타나,Pilott,9,2,13,11.0
34,1762,승리,알리스타,루시퍼메이데이,0,6,13,2.1666666666666665
35,1762,패배,오른,Possible tts,4,5,9,2.6
36,1762,패배,자르반 4세,SKT T1 WoIf,6,6,7,2.1666666666666665
37,1762,패배,탈리야,Lucete,2,6,7,1.5
38,1762,패배,자야,SnakeLight,7,8,7,1.75
39,1762,패배,그라가스,일견무시도성빈,2,7,10,1.7142857142857142
40,1763,승리,케넨,우르프rider,6,0,2,inf
41,1763,승리,카직스,일견무시도성빈,7,0,4,inf
42,1763,승리,탈리야,Lucete,5,2,12,8.5
43,1763,승리,바루스,Possible tts,3,2,12,7.5
44,1763,승리,알리스타,루시퍼메이데이,3,6,11,2.3333333333333335
45,1763,패배,올라프,Super Secret,0,2,2,1.0
46,1763,패배,렉사이,Wilder,1,6,1,0.3333333333333333
47,1763,패배,말자하,APK Rainbow,3,5,1,0.8
48,1763,패배,칼리스타,천점못찍는벌레,3,7,2,0.7142857142857143
49,1763,패배,탐 켄치,SKT T1 WoIf,1,4,6,1.75
50,1764,승리,나르,Kingen,3,0,4,inf
51,1764,승리,렉사이,P2k Key,5,2,7,6.0
52,1764,승리,탈리야,성민콩,7,2,5,6.0
53,1764,승리,진,FVV BETTY,7,2,9,8.0
54,1764,승리,알리스타,루시퍼메이데이,2,3,16,6.0
55,1764,패배,블라디미르,토마토페이스트,1,2,1,1.0
56,1764,패배,리 신,PeanuToT,3,5,1,0.8
57,1764,패배,말자하,APK Rainbow,4,4,2,1.5
58,1764,패배,애쉬,선비모드,1,9,5,0.6666666666666666
59,1764,패배,카르마,LinLan,0,4,6,1.5
60,1765,승리,라이즈,Kingen,2,5,7,1.8
61,1765,승리,카직스,PeanuToT,4,1,12,16.0
62,1765,승리,아지르,제1막,9,1,11,20.0
63,1765,승리,이즈리얼,선비모드,9,4,10,4.75
64,1765,승리,알리스타,루시퍼메이데이,0,3,15,5.0
65,1765,패배,블라디미르,토마토페이스트,5,3,5,3.3333333333333335
66,1765,패배,자르반 4세,땅우양,2,4,8,2.5
67,1765,패배,카사딘,피넛사냥개1,3,4,3,1.5
68,1765,패배,바루스,여청추,3,8,1,0.5
69,1765,패배,브라움,LinLan,1,5,8,1.8
70,1766,승리,올라프,코w코,9,3,4,4.333333333333333
71,1766,승리,쉬바나,Cuz2,8,3,5,4.333333333333333
72,1766,승리,라이즈,duibuqiziji,2,3,4,2.0
73,1766,승리,칼리스타,Afreeca Aiming,18,4,8,6.5
74,1766,승리,쓰레쉬,루시퍼메이데이,2,3,24,8.666666666666666
75,1766,패배,오른,우철짱123,2,10,5,0.7
76,1766,패배,자르반 4세,먹는건즐거워,5,7,6,1.5714285714285714
77,1766,패배,아지르,푸딩은푸딩해,5,3,2,2.3333333333333335
78,1766,패배,이즈리얼,Rain1ng,3,7,7,1.4285714285714286
79,1766,패배,조이,성민콩,1,12,6,0.5833333333333334
80,1767,승리,리산드라,푸딩은푸딩해,1,3,12,4.333333333333333
81,1767,승리,렝가,Wilder,2,4,5,1.75
82,1767,승리,카타리나,find myself,15,6,6,3.5
83,1767,승리,미스 포츈,Rain1ng,6,0,9,inf
84,1767,승리,알리스타,루시퍼메이데이,3,1,15,18.0
85,1767,패배,제이스,우철짱123,3,8,4,0.875
86,1767,패배,자르반 4세,Yaharong,4,6,5,1.5
87,1767,패배,조이,FW Maple,4,4,4,2.0
88,1767,패배,칼리스타,원딜둥이,3,3,2,1.6666666666666667
89,1767,패배,타릭,YOYOuuuuuO,0,6,6,1.0
90,1768,승리,카밀,MVP ADD,12,3,0,4.0
91,1768,승리,킨드레드,J Spectre G,6,8,5,1.375
92,1768,승리,르블랑,Sakura Angel,6,2,6,6.0
93,1768,승리,바루스,VIP 민형,2,3,13,5.0
94,1768,승리,쓰레쉬,루시퍼메이데이,2,6,13,2.5
95,1768,패배,케일,FW Maple,7,5,9,3.2
96,1768,패배,쉬바나,appearflawless,4,6,9,2.1666666666666665
97,1768,패배,아지르,LFT MID,2,7,6,1.1428571428571428
98,1768,패배,진,fndasjkfkqw,6,3,8,4.666666666666667
99,1768,패배,모르가나,FeelsLovelyMan,2,7,16,2.5714285714285716
100,1769,승리,잭스,코w코,4,2,8,6.0
101,1769,승리,녹턴,J Spectre G,10,2,6,8.0
102,1769,승리,아지르,find myself,10,3,8,6.0
103,1769,승리,바루스,Kingen,1,3,8,3.0
104,1769,승리,알리스타,루시퍼메이데이,0,3,12,4.0
105,1769,패배,카밀,MVP ADD,4,6,4,1.3333333333333333
106,1769,패배,쉬바나,매우뚱뚱한고양이,1,4,4,1.25
107,1769,패배,라이즈,FW Maple,1,4,7,2.0
108,1769,패배,애쉬,VIP 민형,3,5,4,1.4
109,1769,패배,탐 켄치,FeelsLovelyMan,4,6,5,1.5
110,1770,승리,제이스,Kingen,8,5,8,3.2
111,1770,승리,이블린,appearflawless,9,8,7,2.0
112,1770,승리,아지르,mide gui tou,11,3,4,5.0
113,1770,승리,칼리스타,Yeeclipse,3,8,15,2.25
114,1770,승리,쓰레쉬,루시퍼메이데이,1,9,16,1.8888888888888888
115,1770,패배,오른,우철짱123,3,3,10,4.333333333333333
116,1770,패배,카직스,sanspareil1,7,11,4,1.0
117,1770,패배,오리아나,매우뚱뚱한고양이,6,7,7,1.8571428571428572
118,1770,패배,이즈리얼,먹는건즐거워,14,6,9,3.8333333333333335
119,1770,패배,카르마,Lvmao,3,5,23,5.2
120,1771,승리,갱플랭크,Kingen,1,3,2,1.0
121,1771,승리,자르반 4세,먹는건즐거워,5,1,3,8.0
122,1771,승리,베이가,구운몽임,3,1,7,10.0
123,1771,승리,바루스,VIP 민형,5,0,5,inf
124,1771,승리,쓰레쉬,루시퍼메이데이,3,0,6,inf
125,1771,패배,초가스,YOYOuuuuuO,1,3,1,0.6666666666666666
126,1771,패배,쉬바나,매우뚱뚱한고양이,4,3,0,1.3333333333333333
127,1771,패배,아지르,mide gui tou,0,3,2,0.6666666666666666
128,1771,패배,진,Mengqiuqiu,0,3,0,0.0
129,1771,패배,미스 포츈,양갱뿌,0,5,0,0.0
130,1772,패배,나르,혼자혼자,5,3,6,3.6666666666666665
131,1772,패배,신 짜오,Kingen,3,9,6,1.0
132,1772,패배,라이즈,피넛사냥개2,1,7,5,0.8571428571428571
133,1772,패배,바루스,그러면안돼요짜샤,6,9,5,1.2222222222222223
134,1772,패배,탐 켄치,루시퍼메이데이,3,6,9,2.0
135,1772,승리,말파이트,qweqasddasas,2,7,6,1.1428571428571428
136,1772,승리,카직스,FeelsSosoMan,19,3,9,9.333333333333334
137,1772,승리,오른,Heart,3,3,13,5.333333333333333
138,1772,승리,트리스타나,VIP 민형,9,2,10,9.5
139,1772,승리,알리스타,supbest,1,4,19,5.0
140,1773,패배,잭스,나네쫓다꿈소년,4,5,7,2.2
141,1773,패배,렝가,마이엠브,11,7,7,2.5714285714285716
142,1773,패배,카르마,루시퍼메이데이,3,3,16,6.333333333333333
143,1773,패배,바루스,VIP 민형,11,5,12,4.6
144,1773,패배,레오나,MinKOOK2,2,8,17,2.375
145,1773,승리,나르,피넛사냥개2,6,3,9,5.0
146,1773,승리,세주아니,SKT T1 WoIf,6,5,13,3.8
147,1773,승리,아지르,mcmglllc,3,6,10,2.1666666666666665
148,1773,승리,칼리스타,천점못찍는벌레,12,7,7,2.7142857142857144
149,1773,승리,타릭,YOYOuuuuuO,1,10,18,1.9
150,1774,패배,제이스,코w코,5,5,5,2.0
151,1774,패배,세주아니,F0y,2,4,8,2.5
152,1774,패배,탈리야,2Kano,2,9,8,1.1111111111111112
153,1774,패배,트리스타나,FVV BETTY,11,5,5,3.2
154,1774,패배,알리스타,루시퍼메이데이,2,4,9,2.75
155,1774,승리,사이온,Bvoy,2,2,9,5.5
156,1774,승리,자르반 4세,9346,4,5,12,3.2
157,1774,승리,아지르,UcaL,13,4,5,4.5
158,1774,승리,진,161561,5,7,8,1.8571428571428572
159,1774,승리,잔나,66668888,2,4,13,3.75
160,1775,패배,잭스,UcaL,4,8,3,0.875
161,1775,패배,그라가스,좋은날,5,10,4,0.9
162,1775,패배,아지르,Heart,3,7,4,1.0
163,1775,패배,베인,LPL noob ad QAQ,2,7,6,1.1428571428571428
164,1775,패배,알리스타,루시퍼메이데이,1,13,4,0.38461538461538464
165,1775,승리,마오카이,튀자튀자아,5,1,18,23.0
166,1775,승리,세주아니,진쟤승,6,4,23,7.25
167,1775,승리,벨코즈,피넛사냥개1,12,2,18,15.0
168,1775,승리,미스 포츈,Rachel Berry,14,6,18,5.333333333333333
169,1775,승리,쉔,GuGer,8,2,23,15.5
170,1776,패배,신지드,내 마음 아프니까,3,8,6,1.125
171,1776,패배,카직스,w1sdom ovo,8,6,4,2.0
172,1776,패배,코르키,소요하다 곡 작,4,6,6,1.6666666666666667
173,1776,패배,진,LPL noob ad QAQ,4,7,6,1.4285714285714286
174,1776,패배,알리스타,루시퍼메이데이,2,8,4,0.75
175,1776,승리,사이온,Algorism,4,4,16,5.0
176,1776,승리,리 신,9346,0,7,18,2.5714285714285716
177,1776,승리,카타리나,피넛사냥개1,8,6,7,2.5
178,1776,승리,칼리스타,Rachel Berry,18,0,4,inf
179,1776,승리,잔나,시즌8빡고수ad1,5,5,18,4.6
180,1777,승리,갱플랭크,Fabu,0,5,12,2.4
181,1777,승리,카직스,매우뚱뚱한고양이,12,5,3,3.0
182,1777,승리,베이가,ZhanQiHuaYm,10,3,9,6.333333333333333
183,1777,승리,진,입이더러운사람,6,0,10,inf
184,1777,승리,알리스타,루시퍼메이데이,1,2,11,6.0
185,1777,패배,블라디미르,담원 너구리,3,4,4,1.75
186,1777,패배,렉사이,ROX 곰,4,5,5,1.8
187,1777,패배,아지르,ROX 라바,5,9,4,1.0
188,1777,패배,바루스,상어가족,3,6,3,1.0
189,1777,패배,브라움,FeelsLovelyMan,0,5,5,1.0
190,1778,승리,케넨,UcaL,3,6,6,1.5
191,1778,승리,세주아니,9346,11,5,17,5.6
192,1778,승리,카사딘,Afreeca Ruby,7,3,14,7.0
193,1778,승리,시비르,입이더러운사람,19,3,10,9.666666666666666
194,1778,승리,알리스타,루시퍼메이데이,2,3,19,7.0
195,1778,패배,초가스,원딜둥이,3,9,3,0.6666666666666666
196,1778,패배,자르반 4세,Cuz2,2,9,10,1.3333333333333333
197,1778,패배,탈론,빅파이초코파이,9,8,3,1.5
198,1778,패배,진,ROX Sangyoon,3,8,6,1.125
199,1778,패배,제라스,삼성갤럭시CoreJJ,3,9,7,1.1111111111111112
