,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1699,승리,일라오이,xaxaxaxaxa,2,6,2,0.6666666666666666
1,1699,승리,세주아니,75387,3,1,9,12.0
2,1699,승리,아지르,PawN God,4,0,3,inf
3,1699,승리,진,먹는건즐거워,6,2,3,4.5
4,1699,승리,알리스타,Nem2sis,2,0,7,inf
5,1699,패배,케넨,담원 너구리,4,3,3,2.3333333333333335
6,1699,패배,쉬바나,분당고 엄성현,3,2,2,2.5
7,1699,패배,르블랑,승 로,1,2,2,1.5
8,1699,패배,바루스,sqb,1,4,0,0.25
9,1699,패배,마오카이,Nova1,0,6,2,0.3333333333333333
10,1700,패배,제이스,집밖에나갈일없음,6,4,7,3.25
11,1700,패배,세주아니,wo liang le,4,7,8,1.7142857142857142
12,1700,패배,라이즈,장난 꾸러기 돼지,2,4,5,1.75
13,1700,패배,칼리스타,먹는건즐거워,5,7,2,1.0
14,1700,패배,레오나,LeonaMaestro,0,6,10,1.6666666666666667
15,1700,승리,마오카이,Sun이라는 별,3,3,14,5.666666666666667
16,1700,승리,자르반 4세,Diamondprox1,5,3,16,7.0
17,1700,승리,다이애나,이야공,2,4,11,3.25
18,1700,승리,징크스,그러면안돼요짜샤,15,5,8,4.6
19,1700,승리,알리스타,Mengqiuqiu,3,2,22,12.5
20,1701,승리,라이즈,아테나찡,4,7,6,1.4285714285714286
21,1701,승리,렝가,DaYE,10,4,7,4.25
22,1701,승리,코르키,APK Rainbow,15,5,4,3.8
23,1701,승리,트리스타나,LPL noob ad QAQ,9,5,10,3.8
24,1701,승리,알리스타,먹는건즐거워,2,7,19,3.0
25,1701,패배,오른,뒷텔와드점,5,6,11,2.6666666666666665
26,1701,패배,세주아니,마산가자,4,7,8,1.7142857142857142
27,1701,패배,탈리야,Lucete,9,5,12,4.2
28,1701,패배,진,RRRuleRRR,4,11,2,0.5454545454545454
29,1701,패배,제라스,FeelsAwesomeMan,6,11,8,1.2727272727272727
30,1702,승리,제이스,Heiz4,2,5,9,2.2
31,1702,승리,렝가,마산가자,7,3,12,6.333333333333333
32,1702,승리,카사딘,송하영 팬,13,5,11,4.8
33,1702,승리,미스 포츈,먹는건즐거워,5,0,11,inf
34,1702,승리,갱플랭크,Lvmao,7,3,15,7.333333333333333
35,1702,패배,블라디미르,IGS Dasher,2,4,5,1.75
36,1702,패배,엘리스,종학윙,3,7,10,1.8571428571428572
37,1702,패배,아지르,아테나찡,7,8,4,1.375
38,1702,패배,이즈리얼,NekoL,3,6,4,1.1666666666666667
39,1702,패배,쉔,천천히올라감,1,9,7,0.8888888888888888
40,1703,패배,잭스,나네쫓다꿈소년,11,6,0,1.8333333333333333
41,1703,패배,세주아니,Heiz4,1,7,10,1.5714285714285714
42,1703,패배,신드라,MVP Ian,4,5,5,1.8
43,1703,패배,애쉬,먹는건즐거워,0,2,5,2.5
44,1703,패배,미스 포츈,YM  zhongdan,5,9,4,1.0
45,1703,승리,카밀,Like Waves,5,4,4,2.25
46,1703,승리,렝가,종학윙,11,2,7,9.0
47,1703,승리,조이,피넛사냥개1,1,6,12,2.1666666666666665
48,1703,승리,이즈리얼,SnakeLight,11,3,8,6.333333333333333
49,1703,승리,바드,그러면안돼요짜샤,1,6,9,1.6666666666666667
50,1704,패배,초가스,Delicious Fish,3,4,6,2.25
51,1704,패배,카직스,chijixuanshou,4,5,8,2.4
52,1704,패배,베이가,ZhanQiHuaYm,12,5,5,3.4
53,1704,패배,미스 포츈,점점나의마음이끌,1,6,8,1.5
54,1704,패배,알리스타,먹는건즐거워,1,5,6,1.4
55,1704,승리,갱플랭크,최초공개할게요오,2,4,9,2.75
56,1704,승리,세주아니,KDM 유준,4,1,16,20.0
57,1704,승리,아지르,FW Maple,6,9,7,1.4444444444444444
58,1704,승리,칼리스타,SnakeLight,12,3,6,6.0
59,1704,승리,브라움,DWG BeryL,1,4,22,5.75
60,1705,승리,갱플랭크,뒷텔와드점,4,7,10,2.0
61,1705,승리,카직스,SKT T1 WoIf,8,7,7,2.142857142857143
62,1705,승리,라이즈,FW Maple,6,1,6,12.0
63,1705,승리,이즈리얼,RRRuleRRR,6,6,7,2.1666666666666665
64,1705,승리,쉔,먹는건즐거워,3,2,14,8.5
65,1705,패배,나르,피넛사냥개2,8,3,2,3.3333333333333335
66,1705,패배,자르반 4세,sanspareil1,5,5,7,2.4
67,1705,패배,카사딘,PeanuToT,5,7,2,1.0
68,1705,패배,미스 포츈,Afreeca Aiming,4,5,7,2.2
69,1705,패배,바드,리인제이,1,7,10,1.5714285714285714
70,1706,승리,카밀,Heiz4,11,3,4,5.0
71,1706,승리,카직스,멘탈 실력 운,9,0,3,inf
72,1706,승리,르블랑,박효신사생팬,4,1,3,7.0
73,1706,승리,미스 포츈,먹는건즐거워,3,1,8,11.0
74,1706,승리,벨코즈,삼성갤럭시 Crown,2,1,7,9.0
75,1706,패배,잭스,FeelsIronMan,1,5,2,0.6
76,1706,패배,세주아니,PeanuToT,1,6,3,0.6666666666666666
77,1706,패배,라이즈,FW Maple,1,5,1,0.4
78,1706,패배,이즈리얼,으아으앙으아앙,1,7,2,0.42857142857142855
79,1706,패배,자이라,MSC TRY,2,6,2,0.6666666666666666
80,1707,패배,피오라,진에어 저스티스,10,14,8,1.2857142857142858
81,1707,패배,세주아니,마이엠브,8,8,21,3.625
82,1707,패배,라이즈,삼성갤럭시 Crown,8,10,13,2.1
83,1707,패배,진,먹는건즐거워,15,8,17,4.0
84,1707,패배,알리스타,supbest,5,12,24,2.4166666666666665
85,1707,승리,갱플랭크,Fabu,11,10,22,3.3
86,1707,승리,렝가,SKT T1 WoIf,18,9,15,3.6666666666666665
87,1707,승리,아지르,mide gui tou,9,6,16,4.166666666666667
88,1707,승리,미스 포츈,6학년4반장용준,12,10,24,3.6
89,1707,승리,레오나,A weak youth,2,11,27,2.6363636363636362
90,1708,승리,카밀,피넛사냥개2,6,6,9,2.5
91,1708,승리,렝가,9346,8,1,10,18.0
92,1708,승리,아지르,KDM PERT,10,3,7,5.666666666666667
93,1708,승리,칼리스타,먹는건즐거워,8,2,5,6.5
94,1708,승리,쓰레쉬,A weak youth,1,4,16,4.25
95,1708,패배,나르,SKT T1 WoIf,1,8,4,0.625
96,1708,패배,신 짜오,yizhiyu,5,6,2,1.1666666666666667
97,1708,패배,코르키,박효신사생팬,5,6,6,1.8333333333333333
98,1708,패배,이즈리얼,161561,5,7,4,1.2857142857142858
99,1708,패배,탐 켄치,supbest,0,6,7,1.1666666666666667
100,1709,패배,쉔,먹는건즐거워,2,5,6,1.6
101,1709,패배,니달리,나는야베이베이1,3,7,8,1.5714285714285714
102,1709,패배,조이,Jin air Yaharong,3,3,5,2.6666666666666665
103,1709,패배,칼리스타,아트가 앗뜨거,5,7,4,1.2857142857142858
104,1709,패배,알리스타,SKT T1 WoIf,1,8,8,1.125
105,1709,승리,올라프,Super Secret,10,0,9,inf
106,1709,승리,자르반 4세,좋은날,4,3,20,8.0
107,1709,승리,라이즈,진에어 테디,10,4,8,4.5
108,1709,승리,바루스,aquariusz,6,4,11,4.25
109,1709,승리,브라움,분당고 엄성현,0,3,23,7.666666666666667
110,1710,패배,애니,최초공개할게요오,0,3,0,0.0
111,1710,패배,렝가,KDM 유준,1,5,1,0.4
112,1710,패배,말자하,이치방츠요이야츠,0,6,2,0.3333333333333333
113,1710,패배,이즈리얼,DWG BeryL,4,2,2,3.0
114,1710,패배,알리스타,먹는건즐거워,3,8,4,0.875
115,1710,승리,나르,JAG S0hwan,2,1,8,10.0
116,1710,승리,쉬바나,작전동 노란머리,7,2,7,7.0
117,1710,승리,카사딘,ROX 라바,7,1,7,14.0
118,1710,승리,미스 포츈,삼성갤럭시CoreJJ,5,3,8,4.333333333333333
119,1710,승리,탐 켄치,160810,3,1,7,10.0
120,1711,승리,카밀,FeelsIronMan,8,3,4,4.0
121,1711,승리,자르반 4세,먹는건즐거워,5,2,9,7.0
122,1711,승리,라이즈,FW Maple,3,2,4,3.5
123,1711,승리,진,Lucete,5,4,7,3.0
124,1711,승리,잔나,FW SwordArT,2,4,13,3.75
125,1711,패배,제이스,JAG S0hwan,6,6,3,1.5
126,1711,패배,세주아니,ROX Se0ngHwan,2,2,9,5.5
127,1711,패배,카사딘,Zhongdan XD,2,3,4,2.0
128,1711,패배,바루스,Bvoy,4,3,4,2.6666666666666665
129,1711,패배,제라스,Nem2sis,1,9,6,0.7777777777777778
130,1712,패배,오른,JAG S0hwan,5,6,3,1.3333333333333333
131,1712,패배,리 신,TeawaN,4,5,4,1.6
132,1712,패배,코르키,DWG ShowMaker,2,5,4,1.2
133,1712,패배,칼리스타,먹는건즐거워,4,6,5,1.5
134,1712,패배,타릭,Dutch Coffee,1,5,10,2.2
135,1712,승리,카밀,미율치에오,5,5,6,2.2
136,1712,승리,쉬바나,작전동 노란머리,10,3,6,5.333333333333333
137,1712,승리,카사딘,FeelsCoffeeMan,8,1,9,17.0
138,1712,승리,미스 포츈,FVV BETTY,4,2,5,4.5
139,1712,승리,알리스타,천천히올라감,0,5,16,3.2
140,1713,승리,일라오이,xaxaxaxaxa,9,9,7,1.7777777777777777
141,1713,승리,자르반 4세,MataMataMata,14,6,16,5.0
142,1713,승리,라이즈,FW Maple,6,5,14,4.0
143,1713,승리,이즈리얼,먹는건즐거워,10,5,14,4.8
144,1713,승리,잔나,FW SwordArT,3,3,24,9.0
145,1713,패배,카밀,baramgaebi,8,10,6,1.4
146,1713,패배,쉬바나,작전동 노란머리,7,7,9,2.2857142857142856
147,1713,패배,탈리야,chorongie,2,9,12,1.5555555555555556
148,1713,패배,칼리스타,덤벼보던가,9,8,10,2.375
149,1713,패배,오른,진쟤승,2,8,16,2.25
150,1714,패배,카밀,kfo,4,4,2,1.5
151,1714,패배,니달리,M1anhua,6,4,2,2.0
152,1714,패배,스웨인,삼성갤럭시 Crown,0,7,1,0.14285714285714285
153,1714,패배,진,먹는건즐거워,2,8,3,0.625
154,1714,패배,조이,LinLan,0,9,3,0.3333333333333333
155,1714,승리,일라오이,PawN God,2,7,5,1.0
156,1714,승리,엘리스,7895123,6,0,10,inf
157,1714,승리,피들스틱,1414774182,3,1,4,7.0
158,1714,승리,칼리스타,메 끠,20,1,3,23.0
159,1714,승리,쓰레쉬,세상만사내리막길,1,3,16,5.666666666666667
160,1715,승리,쉔,7895123,1,3,5,2.0
161,1715,승리,리 신,정글노바,2,0,7,inf
162,1715,승리,아지르,PawN God,8,0,4,inf
