,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1719,승리,제이스,멘탈과실력을겸비,9,3,4,4.333333333333333
1,1719,승리,카직스,EEW detpeC,11,6,6,2.8333333333333335
2,1719,승리,카타리나,사실지고싶지않음,8,2,2,5.0
3,1719,승리,케이틀린,Hades9,8,4,6,3.5
4,1719,승리,룰루,FVV BETTY,1,2,17,9.0
5,1719,패배,신지드,류혜원,2,6,0,0.3333333333333333
6,1719,패배,리 신,Lz Tv SuShi,3,9,8,1.2222222222222223
7,1719,패배,아지르,꾸자니 똑땅해,4,6,6,1.6666666666666667
8,1719,패배,바루스,LPL noob ad QAQ,5,8,3,1.0
9,1719,패배,제라스,강고릴,3,8,6,1.125
10,1720,승리,럼블,멘탈과실력을겸비,7,5,13,4.0
11,1720,승리,카직스,PeanuToT,14,8,6,2.5
12,1720,승리,말자하,킬안주면꼬라박음,9,8,10,2.375
13,1720,승리,이즈리얼,암고잉빽투더스탙,8,3,17,8.333333333333334
14,1720,승리,모르가나,구직자 쭈스,1,11,22,2.090909090909091
15,1720,패배,케넨,커피물조절장인,8,8,5,1.625
16,1720,패배,자르반 4세,Only caozuo,6,6,14,3.3333333333333335
17,1720,패배,오리아나,LFT MID,5,6,11,2.6666666666666665
18,1720,패배,루시안,꾸자니 똑땅해,14,12,4,1.5
19,1720,패배,레오나,강고릴,2,8,14,2.0
20,1721,패배,럼블,멘탈과실력을겸비,2,7,5,1.0
21,1721,패배,헤카림,BadeMan,11,9,3,1.5555555555555556
22,1721,패배,탈리야,Siste aeterno,4,14,7,0.7857142857142857
23,1721,패배,바루스,학식먹을나이,4,9,7,1.2222222222222223
24,1721,패배,카르마,커소리어스나,6,8,10,2.0
25,1721,승리,사이온,MVP ADD,7,2,15,11.0
26,1721,승리,렉사이,EEW detpeC,17,6,10,4.5
27,1721,승리,아지르,삼성갤럭시 Crown,9,8,10,2.375
28,1721,승리,진,FVV BETTY,6,6,16,3.6666666666666665
29,1721,승리,제라스,미율치에오,8,5,13,4.2
30,1722,승리,럼블,멘탈과실력을겸비,8,1,5,13.0
31,1722,승리,엘리스,쁘띠예리사랑해요,2,1,4,6.0
32,1722,승리,제드,ADEPT1,9,0,6,inf
33,1722,승리,바루스,DAN Ggoong,3,0,8,inf
34,1722,승리,알리스타,WangChen,2,3,7,3.0
35,1722,패배,제이스,Lucete,2,4,2,1.0
36,1722,패배,렉사이,MVP Beyond,2,5,1,0.6
37,1722,패배,조이,Nari,0,6,1,0.16666666666666666
38,1722,패배,자야,미율치에오,0,6,3,0.5
39,1722,패배,라칸,은종섭,1,3,3,1.3333333333333333
40,1723,패배,카밀,멘탈과실력을겸비,3,6,2,0.8333333333333334
41,1723,패배,잭스,코w코,2,4,1,0.75
42,1723,패배,아지르,미율치에오,1,6,2,0.5
43,1723,패배,애쉬,학식먹을나이,2,6,3,0.8333333333333334
44,1723,패배,모르가나,GuGer,2,5,4,1.2
45,1723,승리,제이스,MVP ADD,2,2,6,4.0
