,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1659,승리,갱플랭크,미율치에오,3,4,9,3.0
1,1659,승리,렝가,삼성갤럭시 하루,18,8,2,2.5
2,1659,승리,말자하,삼성갤럭시 Crown,2,6,8,1.6666666666666667
3,1659,승리,이즈리얼,ROX Se0ngHwan,4,8,7,1.375
4,1659,승리,미스 포츈,PuncHh,2,4,7,2.25
5,1659,패배,제이스,Heiz4,3,10,6,0.9
6,1659,패배,자르반 4세,So1o,10,4,9,4.75
7,1659,패배,라이즈,KDM Edge,5,5,4,1.8
8,1659,패배,바루스,어껭간만에찾아뵙,8,4,11,4.75
9,1659,패배,제라스,김메피,4,6,11,2.5
10,1660,패배,갱플랭크,미율치에오,3,6,3,1.0
11,1660,패배,세주아니,ROX Se0ngHwan,2,5,10,2.4
12,1660,패배,벨코즈,KDM Edge,7,5,5,2.4
13,1660,패배,시비르,어껭간만에찾아뵙,6,4,3,2.25
14,1660,패배,쉔,supbest,3,2,9,6.0
15,1660,승리,잭스,나네쫓다꿈소년,11,4,6,4.25
16,1660,승리,니달리,삼성갤럭시 하루,6,4,4,2.5
17,1660,승리,아지르,삼성갤럭시 Crown,1,5,9,2.0
18,1660,승리,루시안,그러면안돼요짜샤,1,4,3,1.0
19,1660,승리,알리스타,M1anhua,3,4,5,2.0
20,1661,패배,카밀,미율치에오,5,12,3,0.6666666666666666
21,1661,패배,카직스,chijixuanshou,4,10,8,1.2
22,1661,패배,베이가,ZhanQiHuaYm,9,6,4,2.1666666666666665
23,1661,패배,이즈리얼,성민콩,10,9,2,1.3333333333333333
24,1661,패배,제라스,Fotune,6,6,10,2.6666666666666665
25,1661,승리,갱플랭크,피넛사냥개2,14,5,10,4.8
26,1661,승리,렝가,SKT T1 WoIf,9,10,12,2.1
27,1661,승리,아지르,ktmgs,3,6,11,2.3333333333333335
28,1661,승리,진,GALA,4,5,13,3.4
29,1661,승리,조이,Afreeca Aiming,13,8,8,2.625
30,1662,승리,카밀,미율치에오,4,8,13,2.125
31,1662,승리,렝가,SKT T1 WoIf,20,3,7,9.0
32,1662,승리,르블랑,DWG ShowMaker,10,3,14,8.0
33,1662,승리,미스 포츈,RRRuleRRR,4,8,9,1.625
34,1662,승리,알리스타,DWG BeryL,4,5,17,4.2
35,1662,패배,잭스,뒷텔와드점,8,9,4,1.3333333333333333
36,1662,패배,자르반 4세,DaYE,1,9,12,1.4444444444444444
37,1662,패배,라이즈,담원 얼라이브,5,7,3,1.1428571428571428
38,1662,패배,진,LPL noob ad QAQ,9,9,7,1.7777777777777777
39,1662,패배,카르마,Lucete,4,8,14,2.25
40,1663,승리,오른,미율치에오,3,4,3,1.5
41,1663,승리,세주아니,so nihao zaijian,3,3,8,3.6666666666666665
42,1663,승리,신드라,ROYG,6,1,5,11.0
43,1663,승리,이즈리얼,RRRuleRRR,4,2,8,6.0
44,1663,승리,제라스,161561,4,7,5,1.2857142857142858
45,1663,패배,제이스,pppyp,4,7,3,1.0
46,1663,패배,렝가,Wilder,7,2,1,4.0
47,1663,패배,탈리야,아테나찡,0,7,4,0.5714285714285714
48,1663,패배,미스 포츈,NekoL,4,1,4,8.0
49,1663,패배,카르마,Empmuyi,2,3,7,3.0
50,1664,패배,오른,미율치에오,7,4,2,2.25
51,1664,패배,엘리스,종학윙,8,9,5,1.4444444444444444
52,1664,패배,라이즈,단군의청춘부재,2,8,8,1.25
53,1664,패배,미스 포츈,RRRuleRRR,8,7,6,2.0
54,1664,패배,자이라,Wilder,1,8,11,1.5
55,1664,승리,피오라,Gon123,4,4,5,2.25
56,1664,승리,리 신,Boldness,7,5,10,3.4
57,1664,승리,말자하,LPL noob ad QAQ,9,5,4,2.6
58,1664,승리,자야,원딜둥이,14,8,9,2.875
