,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,421,승리,럼블,챌린져 등반가,8,2,7,7.5
1,421,승리,렝가,THE KING 2000,13,3,5,6.0
2,421,승리,르블랑,세메론,5,5,9,2.8
3,421,승리,이즈리얼,FVV BETTY,2,1,7,9.0
4,421,승리,쉔,박투신,0,2,15,7.5
5,421,패배,제이스,RVS Poss,6,6,2,1.3333333333333333
6,421,패배,잭스,담원 너구리,5,7,3,1.1428571428571428
7,421,패배,카사딘,담원 쇼메이커,0,7,4,0.5714285714285714
8,421,패배,시비르,갱꼬삼실화냐,2,4,2,1.0
9,421,패배,나미,XinMo,0,4,6,1.5
10,422,승리,카밀,JAG S0hwan,3,2,5,4.0
11,422,승리,쉬바나,갱만가드림,9,1,6,15.0
12,422,승리,라이즈,find myself,6,1,8,14.0
13,422,승리,진,whisper snow,7,1,3,10.0
14,422,승리,쓰레쉬,박투신,0,1,15,15.0
15,422,패배,제이스,Kingen,3,5,0,0.6
16,422,패배,자르반 4세,ROX Se0ngHwan,1,2,2,1.5
17,422,패배,탈리야,Lehends,1,6,1,0.3333333333333333
18,422,패배,이즈리얼,VIP 민형,1,6,1,0.3333333333333333
19,422,패배,타릭,천천히올라감,0,6,2,0.3333333333333333
20,423,승리,제이스,Kingen,16,2,10,13.0
21,423,승리,자르반 4세,ROX Se0ngHwan,5,1,21,26.0
22,423,승리,라이즈,FeelsAwesomeMan,7,1,7,14.0
23,423,승리,트리스타나,VIP 민형,7,3,8,5.0
24,423,승리,알리스타,박투신,6,5,17,4.6
25,423,패배,일라오이,이기자 할수있다,0,15,0,0.0
26,423,패배,세주아니,bbq Tempt,4,6,3,1.1666666666666667
27,423,패배,탈리야,find myself,3,8,3,0.75
28,423,패배,드레이븐,Afreeca Kramer,4,8,5,1.125
29,423,패배,카르마,뽀허니,1,4,9,2.5
30,424,패배,헤카림,yizhiyu,3,6,1,0.6666666666666666
31,424,패배,쉔,박투신,1,7,2,0.42857142857142855
32,424,패배,나서스,SKT T1 WoIf,3,6,3,1.0
33,424,패배,미스 포츈,Afreeca Kramer,1,7,0,0.14285714285714285
34,424,패배,카시오페아,Afreeca Kuro,1,8,1,0.25
35,424,승리,렝가,wo yao qu daye,7,3,8,5.0
36,424,승리,진,커닝시티 피그미,11,2,7,9.0
37,424,승리,라이즈,find myself,11,2,3,7.0
38,424,승리,갱플랭크,SKT T1 Untara,5,2,9,7.0
39,424,승리,레오나,qweqasddasas,0,0,17,inf
40,425,승리,잭스,2001 04 30,2,1,2,4.0
41,425,승리,리 신,YekDoolb,5,2,3,4.0
42,425,승리,조이,Afreeca Kuro,7,2,6,6.5
43,425,승리,미스 포츈,18 01 1000 X D,8,0,3,inf
44,425,승리,레오나,박투신,1,0,8,inf
45,425,패배,자이라,MSC TRY,2,3,0,0.6666666666666666
46,425,패배,카직스,시즌8빡고수ad1,1,6,0,0.16666666666666666
47,425,패배,카타리나,find myself,2,5,0,0.4
48,425,패배,진,ESRS10,0,5,0,0.0
49,425,패배,쓰레쉬,챌 희,0,4,0,0.0
50,426,승리,제이스,Alielie,3,8,5,1.0
51,426,승리,리 신,박투신,5,1,7,12.0
52,426,승리,라이즈,이치방츠요이야츠,8,1,8,16.0
53,426,승리,바루스,먹는건즐거워,5,3,12,5.666666666666667
54,426,승리,탐 켄치,fengquyunbuhui,3,2,16,9.5
55,426,패배,사이온,SKT T1 Untara,4,5,9,2.6
56,426,패배,잭스,수지Suzy,4,4,3,1.75
57,426,패배,카타리나,duibuqiziji,4,9,1,0.5555555555555556
58,426,패배,진,ESRS10,3,3,4,2.3333333333333335
59,426,패배,쉔,Afreeca Kramer,0,3,6,2.0
60,427,승리,블라디미르,최석배 사생팬,11,1,7,18.0
61,427,승리,카직스,LFT MID,5,4,10,3.75
62,427,승리,라이즈,FW Maple,15,0,7,inf
63,427,승리,미스 포츈,Mengqiuqiu,4,3,19,7.666666666666667
64,427,승리,알리스타,박투신,1,3,20,7.0
65,427,패배,나르,돌잔치때도란잡음,2,3,1,1.0
66,427,패배,자크,MVP Beyond,5,7,2,1.0
67,427,패배,아지르,담원 쇼메이커,3,6,1,0.6666666666666666
68,427,패배,진,호잇이,1,11,4,0.45454545454545453
69,427,패배,탐 켄치,우지나 나 갸영이,0,9,4,0.4444444444444444
70,428,승리,나르,돌잔치때도란잡음,4,3,3,2.3333333333333335
71,428,승리,쉬바나,작전동 노란머리,5,1,3,8.0
72,428,승리,블라디미르,최석배 사생팬,4,1,2,6.0
73,428,승리,진,Cepteddddddddddd,3,2,6,4.5
74,428,승리,레오나,박투신,2,4,5,1.75
75,428,패배,야스오,JAG S0hwan,2,3,1,1.0
76,428,패배,니달리,FeelsSosoMan,5,6,1,1.0
77,428,패배,아지르,LFT MID,2,1,2,4.0
78,428,패배,애쉬,담원 쇼메이커,0,5,7,1.4
79,428,패배,탐 켄치,꼬맹이전쟁,2,3,7,3.0
80,429,승리,럼블,Shiroma Anna,1,2,6,3.5
81,429,승리,쉬바나,작전동 노란머리,7,2,3,5.0
82,429,승리,블라디미르,최석배 사생팬,6,0,2,inf
83,429,승리,바루스,Dingchenyu,7,0,2,inf
84,429,승리,오른,박투신,1,0,9,inf
85,429,패배,카밀,JAG S0hwan,1,4,2,0.75
86,429,패배,렝가,p1g farm,1,5,3,0.8
87,429,패배,탈리야,Afreeca Kuro,2,4,0,0.5
88,429,패배,미스 포츈,fndasjkfkqw,0,4,1,0.25
89,429,패배,카르마,wdmdsyqf,0,5,0,0.0
90,430,승리,카밀,빅파이초코파이,4,2,6,5.0
91,430,승리,자르반 4세,7895123,3,2,14,8.5
92,430,승리,루시안,Heiz4,5,10,6,1.1
93,430,승리,직스,SKT T1 Bang,9,1,5,14.0
94,430,승리,쉔,박투신,3,3,13,5.333333333333333
95,430,패배,제이스,JAG S0hwan,2,5,5,1.4
96,430,패배,세주아니,담원 크러쉬,6,5,8,2.8
97,430,패배,라이즈,FW Maple,7,3,4,3.6666666666666665
98,430,패배,칼리스타,fndasjkfkqw,1,6,4,0.8333333333333334
99,430,패배,레오나,Afreeca Kuro,1,5,7,1.6
100,431,승리,블라디미르,LFT MID,5,1,11,16.0
101,431,승리,리 신,박투신,7,5,10,3.4
102,431,승리,라이즈,R4phael,8,1,9,17.0
103,431,승리,진,SKT T1 Bang,9,3,9,6.0
104,431,승리,타릭,XinMo,1,0,18,inf
105,431,패배,잭스,Alielie,2,7,2,0.5714285714285714
106,431,패배,자르반 4세,Mengqiuqiu,0,6,4,0.6666666666666666
107,431,패배,갈리오,CooN,2,5,1,0.6
108,431,패배,베인,Afreeca Kramer,4,7,1,0.7142857142857143
109,431,패배,알리스타,SKT T1 WoIf,2,5,4,1.2
110,432,승리,케넨,턱살볼살뱃살,4,6,6,1.6666666666666667
111,432,승리,리 신,정글노바,10,1,7,17.0
112,432,승리,아지르,성민콩,6,5,5,2.2
113,432,승리,이즈리얼,갱꼬삼실화냐,5,1,11,16.0
114,432,승리,알리스타,박투신,0,3,15,5.0
115,432,패배,나르,우에하라 크롱,6,7,5,1.5714285714285714
116,432,패배,자르반 4세,Mengqiuqiu,0,5,10,2.0
117,432,패배,카사딘,Sakura Angel,3,5,6,1.8
118,432,패배,베인,NekoL,3,4,0,0.75
119,432,패배,잔나,다시 돌아갈까요,4,4,7,2.75
120,433,패배,갱플랭크,ktmgs,9,7,11,2.857142857142857
121,433,패배,카직스,sanspareil1,7,11,9,1.4545454545454546
122,433,패배,오리아나,행운의 변화,4,5,12,3.2
123,433,패배,진,Hades9,4,5,10,2.8
124,433,패배,자르반 4세,박투신,2,8,12,1.75
125,433,승리,초가스,YOYOuuuuuO,5,9,11,1.7777777777777777
126,433,승리,세주아니,Afreeca M0wgli,4,3,20,8.0
127,433,승리,아지르,NekoL,10,10,11,2.1
128,433,승리,미스 포츈,Greed A Pride,14,3,13,9.0
129,433,승리,쓰레쉬,A weak youth,3,1,25,28.0
130,434,패배,제이스,Flyquest Flame,3,4,1,1.0
131,434,패배,자크,p1g farm,3,5,4,1.4
132,434,패배,아지르,wdmdsyqf,1,5,3,0.8
133,434,패배,칼리스타,비 브이 오 와이,0,4,2,0.5
134,434,패배,타릭,박투신,0,4,2,0.5
135,434,승리,뽀삐,담원 쇼메이커,1,0,5,inf
136,434,승리,니달리,담원 크러쉬,6,0,6,inf
137,434,승리,말자하,ZhanQiHuaYm,2,1,5,7.0
138,434,승리,자야,선비모드,10,3,5,5.0
139,434,승리,라칸,호경모드,3,3,10,4.333333333333333
140,435,패배,초가스,박투신,0,3,0,0.0
141,435,패배,자크,kenzhu9,2,1,2,4.0
142,435,패배,아지르,R4phael,2,2,1,1.5
143,435,패배,칼리스타,선비모드,4,5,3,1.4
144,435,패배,쓰레쉬,호경모드,1,4,7,2.0
145,435,승리,나르,마부두파,1,0,4,inf
146,435,승리,자르반 4세,J Spectre G,2,1,11,13.0
147,435,승리,라이즈,FeelsAwesomeMan,8,1,2,10.0
148,435,승리,미스 포츈,담원 얼라이브,2,6,4,1.0
149,435,승리,잔나,A weak youth,2,1,10,12.0
150,436,패배,카밀,아이지 Rook1E,5,11,8,1.1818181818181819
151,436,패배,이블린,h1rb,7,9,11,2.0
152,436,패배,말자하,ZhanQiHuaYm,2,5,9,2.2
153,436,패배,자야,SnakeLight,14,8,9,2.875
154,436,패배,라칸,박투신,3,6,18,3.5
155,436,승리,나르,Hades9,8,9,10,2.0
156,436,승리,엘리스,작전동 노란머리,13,4,9,5.5
157,436,승리,아지르,mcmglllc,10,7,5,2.142857142857143
158,436,승리,진,Afreeca Kramer,6,6,16,3.6666666666666665
159,436,승리,쉔,GuGer,2,5,22,4.8
160,437,패배,케넨,커피물조절장인,1,4,3,1.0
161,437,패배,문도 박사,작전동 노란머리,1,4,2,0.75
162,437,패배,루시안,LPL noob ad QAQ,1,10,2,0.3
163,437,패배,미스 포츈,쓰레기새기들,8,6,0,1.3333333333333333
164,437,패배,레오나,박투신,0,4,8,2.0
165,437,승리,라이즈,kfo,6,2,5,5.5
166,437,승리,쉬바나,스마트섹시뷰티,10,0,8,inf
167,437,승리,르블랑,FW Maple,8,2,7,7.5
168,437,승리,진,Afreeca Kramer,3,6,6,1.5
169,437,승리,자르반 4세,MataMataMata,1,1,14,15.0
170,438,승리,케넨,아이러니,11,2,4,7.5
171,438,승리,쉬바나,작전동 노란머리,3,5,6,1.8
172,438,승리,탈리야,아테나찡,6,4,11,4.25
173,438,승리,바루스,쓰레기새기들,5,5,11,3.2
174,438,승리,쉔,박투신,3,3,13,5.333333333333333
175,438,패배,나르,Kingen,1,7,9,1.4285714285714286
176,438,패배,카직스,kenzhu9,6,7,5,1.5714285714285714
177,438,패배,라이즈,Republic123,4,4,7,2.75
178,438,패배,진,Rachel Berry,6,5,7,2.6
179,438,패배,나미,MataMataMata,2,5,9,2.2
180,439,승리,럼블,쌀국수뚝붸기,2,4,18,5.0
181,439,승리,자르반 4세,ROX Se0ngHwan,6,2,19,12.5
182,439,승리,르블랑,성혁님미드가신다,9,3,13,7.333333333333333
183,439,승리,진,wjhfjihtiu,13,0,5,inf
