,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,981,패배,제이스,뒷텔와드점,3,11,8,1.0
1,981,패배,니달리,PuncHh,3,9,8,1.2222222222222223
2,981,패배,카사딘,WENJUNXI,6,4,2,2.0
3,981,패배,진,백수 Rain1ng,11,3,6,5.666666666666667
4,981,패배,모르가나,한쿡말알아,2,6,14,2.6666666666666665
5,981,승리,카밀,담원 너구리,16,5,8,4.8
6,981,승리,카직스,담원 크러쉬,7,8,4,1.375
7,981,승리,아지르,LFT MID,7,2,5,6.0
8,981,승리,애쉬,담원 쇼메이커,2,6,9,1.8333333333333333
9,981,승리,탐 켄치,Dutch Coffee,1,5,10,2.2
10,982,승리,제이스,Kingen,4,4,9,3.25
11,982,승리,리 신,TeawaN,2,10,9,1.1
12,982,승리,조이,By myself,12,2,14,13.0
13,982,승리,진,백수 Rain1ng,9,3,10,6.333333333333333
14,982,승리,탐 켄치,PuncHh,1,5,12,2.6
15,982,패배,올라프,WENJUNXI,4,2,7,5.5
16,982,패배,신 짜오,THE KING 2000,11,6,7,3.0
17,982,패배,르블랑,단군의청춘부재,3,8,6,1.125
18,982,패배,트리스타나,fengquyunbuhui,5,5,5,2.0
19,982,패배,알리스타,YserAoA,0,7,11,1.5714285714285714
20,983,패배,제이스,2018서폿챌도전,0,7,2,0.2857142857142857
21,983,패배,리 신,백수 Rain1ng,2,3,2,1.3333333333333333
22,983,패배,카사딘,최석배 사생팬,2,4,2,1.0
23,983,패배,진,릴리스타나,4,4,1,1.25
24,983,패배,알리스타,악시 뒷바라지,2,5,4,1.2
25,983,승리,자르반 4세,이도류,4,1,9,13.0
26,983,승리,쉬바나,By 불비,5,0,2,inf
27,983,승리,르블랑,네 옆에,2,6,5,1.1666666666666667
28,983,승리,베인,bbq Ghost,11,1,5,16.0
29,983,승리,브라움,강고릴,1,2,17,9.0
30,984,패배,제이스,백수 Rain1ng,6,4,3,2.25
31,984,패배,세주아니,7895123,2,4,8,2.5
32,984,패배,신드라,Republic123,6,7,4,1.4285714285714286
33,984,패배,바루스,PaldAl,0,5,7,1.4
34,984,패배,브라움,꼬맹이전쟁,0,6,9,1.5
35,984,승리,사이온,귤수호자 만기,3,2,14,8.5
36,984,승리,니달리,6학년4반장용준,11,1,9,20.0
37,984,승리,라이즈,진에어 테디,5,4,10,3.75
38,984,승리,트리스타나,DWG BeryL,7,2,11,9.0
39,984,승리,알리스타,78945612,0,5,15,3.0
40,985,승리,우르곳,담원 베리릴,9,5,14,4.6
41,985,승리,카직스,Jin air Yaharong,8,6,14,3.6666666666666665
42,985,승리,르블랑,kn9ght,13,6,12,4.166666666666667
43,985,승리,케이틀린,백수 Rain1ng,7,4,15,5.5
44,985,승리,갈리오,으아으앙으아앙,2,6,16,3.0
45,985,패배,오른,우르프rider,1,10,9,1.0
46,985,패배,엘리스,real gankster,9,9,7,1.7777777777777777
47,985,패배,말자하,PawN God,6,11,11,1.5454545454545454
48,985,패배,진,I am ZIatan,6,3,8,4.666666666666667
49,985,패배,알리스타,Nova1,5,6,8,2.1666666666666665
