,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1061,승리,일라오이,빅파이초코파이,6,7,3,1.2857142857142858
1,1061,승리,카직스,DaYE,8,5,9,3.4
2,1061,승리,르블랑,FeelsCoffeeMan,3,1,5,8.0
3,1061,승리,트리스타나,비 브이 오 와이,10,3,7,5.666666666666667
4,1061,승리,쓰레쉬,호경모드,1,5,12,2.6
5,1061,패배,마오카이,7895123,3,5,8,2.2
6,1061,패배,쉬바나,작전동 노란머리,6,4,5,2.75
7,1061,패배,탈론,Afreeca Kuro,5,6,6,1.8333333333333333
8,1061,패배,이즈리얼,GALA,4,9,11,1.6666666666666667
9,1061,패배,브라움,Nova1,3,4,9,3.0
10,1062,패배,마오카이,빅파이초코파이,4,3,2,2.0
11,1062,패배,자르반 4세,ROX Lindarang,3,5,4,1.4
12,1062,패배,말자하,상어가족,2,4,7,2.25
13,1062,패배,애쉬,삼성갤럭시 Ru1er,1,6,5,1.0
14,1062,패배,레오나,커소리어스나,2,5,7,1.8
15,1062,승리,제이스,우에하라 크롱,4,4,6,2.5
16,1062,승리,쉬바나,작전동 노란머리,3,2,11,7.0
17,1062,승리,코르키,최석배 사생팬,7,3,6,4.333333333333333
18,1062,승리,진,F0y,7,0,11,inf
19,1062,승리,탐 켄치,삼성갤럭시CoreJJ,2,3,15,5.666666666666667
20,1063,패배,말자하,7hal,3,9,10,1.4444444444444444
21,1063,패배,카직스,5gak,11,7,5,2.2857142857142856
22,1063,패배,오리아나,LFT MID,7,3,7,4.666666666666667
23,1063,패배,미스 포츈,빅파이초코파이,5,6,9,2.3333333333333335
24,1063,패배,알리스타,선기박,0,4,19,4.75
25,1063,승리,블라디미르,최석배 사생팬,6,6,10,2.6666666666666665
26,1063,승리,초가스,TeachersWu,1,6,5,1.0
27,1063,승리,탈론,PawN God,7,3,5,4.0
28,1063,승리,이즈리얼,삼성갤럭시 Ru1er,13,6,7,3.3333333333333335
29,1063,승리,쉔,은종섭,2,5,16,3.6
30,1064,패배,신지드,빅파이초코파이,7,6,4,1.8333333333333333
31,1064,패배,리 신,TeachersWu,0,8,3,0.375
32,1064,패배,오리아나,LFT MID,4,5,5,1.8
33,1064,패배,애쉬,삼성갤럭시 Ru1er,2,6,6,1.3333333333333333
34,1064,패배,브라움,은종섭,0,6,9,1.5
35,1064,승리,오른,7hal,4,3,10,4.666666666666667
36,1064,승리,세주아니,5gak,6,2,11,8.5
37,1064,승리,조이,PawN God,12,4,10,5.5
38,1064,승리,진,해운대잠만보,6,2,10,8.0
39,1064,승리,알리스타,선기박,3,2,14,8.5
40,1065,승리,잭스,빅파이초코파이,9,8,8,2.125
41,1065,승리,니달리,DS XiaoPeng,9,5,9,3.6
42,1065,승리,조이,나는야 누구일까,3,4,15,4.5
43,1065,승리,미스 포츈,GALA,8,5,13,4.2
44,1065,승리,오른,진쟤승,4,4,14,4.5
45,1065,패배,카밀,세메론,8,12,6,1.1666666666666667
46,1065,패배,자르반 4세,PuncHh,6,7,13,2.7142857142857144
47,1065,패배,탈리야,푸딩은푸딩해,10,2,7,8.5
48,1065,패배,애쉬,먹는건즐거워,1,7,10,1.5714285714285714
49,1065,패배,브라움,supbest,1,5,16,3.4
50,1066,승리,갱플랭크,빅파이초코파이,5,4,9,3.5
51,1066,승리,렝가,멍멍이2,12,10,6,1.8
52,1066,승리,베이가,ZhanQiHuaYm,14,8,8,2.75
53,1066,승리,칼리스타,덤벼보던가,13,9,7,2.2222222222222223
54,1066,승리,알리스타,커닝시티 피그미,3,6,17,3.3333333333333335
55,1066,패배,갈리오,FW Maple,2,8,19,2.625
56,1066,패배,카직스,PeanuToT,14,10,10,2.4
57,1066,패배,탈리야,IGS Dasher,10,8,11,2.625
58,1066,패배,진,FVV BETTY,8,7,11,2.7142857142857144
59,1066,패배,자이라,Lvmao,3,14,14,1.2142857142857142
60,1067,승리,제이스,우에하라 크롱,4,2,0,2.0
61,1067,승리,세주아니,PeanuToT,2,0,5,inf
62,1067,승리,탈리야,LFT MID,0,0,2,inf
63,1067,승리,미스 포츈,GALAAAA,7,1,2,9.0
64,1067,승리,제라스,빅파이초코파이,0,2,7,3.5
65,1067,패배,올라프,멍멍이2,0,3,3,1.0
66,1067,패배,엘리스,FVV BETTY,2,1,2,4.0
67,1067,패배,오리아나,상어가족,0,2,0,0.0
68,1067,패배,진,Hades9,2,2,1,1.5
69,1067,패배,자르반 4세,Lvmao,1,5,3,0.8
70,1068,승리,야스오,baramgaebi,8,8,11,2.375
71,1068,승리,렝가,빅파이초코파이,10,8,16,3.25
72,1068,승리,트위스티드 페이트,ysdgqxcj,8,7,9,2.4285714285714284
73,1068,승리,칼리스타,Yeeclipse,5,5,16,4.2
74,1068,승리,쓰레쉬,Lvmao,6,4,21,6.75
75,1068,패배,오른,커피물조절장인,10,5,10,4.0
76,1068,패배,카직스,pokeryo,5,10,11,1.6
77,1068,패배,라이즈,FeelsAwesomeMan,7,8,9,2.0
78,1068,패배,미스 포츈,혼자해도충분하다,3,8,20,2.875
79,1068,패배,알리스타,Hades9,6,6,19,4.166666666666667
80,1069,패배,갱플랭크,빅파이초코파이,10,9,5,1.6666666666666667
81,1069,패배,헤카림,yizhiyu,6,11,5,1.0
82,1069,패배,카사딘,BtC Joker,4,10,6,1.0
83,1069,패배,이즈리얼,Fission,9,7,8,2.4285714285714284
84,1069,패배,탐 켄치,mid push gogo,1,10,10,1.1
85,1069,승리,블라디미르,토마토페이스트,17,5,18,7.0
86,1069,승리,카직스,ROX Se0ngHwan,8,7,17,3.5714285714285716
87,1069,승리,아지르,마산가자,7,9,15,2.4444444444444446
88,1069,승리,진,제1막,12,4,19,7.75
89,1069,승리,레오나,Nova1,3,5,26,5.8
90,1070,승리,제이스,빅파이초코파이,12,6,5,2.8333333333333335
91,1070,승리,쉬바나,mide gui tou,6,5,7,2.6
92,1070,승리,아지르,Republic123,5,5,4,1.8
93,1070,승리,미스 포츈,Afreeca Aiming,6,10,13,1.9
94,1070,승리,레오나,Fission,4,6,16,3.3333333333333335
95,1070,패배,럼블,내 마음 아프니까,4,8,5,1.125
96,1070,패배,니달리,J Spectre G,12,7,7,2.7142857142857144
97,1070,패배,베이가,성민콩,5,4,10,3.75
98,1070,패배,진,LPL noob ad QAQ,5,6,14,3.1666666666666665
99,1070,패배,카르마,BtC Joker,6,8,15,2.625
100,1071,패배,이렐리아,내 마음 아프니까,4,7,7,1.5714285714285714
101,1071,패배,자르반 4세,수입뿌드,7,7,5,1.7142857142857142
102,1071,패배,다이애나,진에어 저스티스,3,6,5,1.3333333333333333
103,1071,패배,진,빅파이초코파이,3,7,7,1.4285714285714286
104,1071,패배,레오나,Destiny,1,5,11,2.4
105,1071,승리,카밀,Possible tts,6,5,2,1.6
106,1071,승리,워윅,liu mian chong,4,4,14,4.5
107,1071,승리,아지르,mide gui tou,12,2,8,10.0
108,1071,승리,칼리스타,성민콩,6,6,14,3.3333333333333335
109,1071,승리,오른,Lvmao,4,2,19,11.5
110,1072,패배,판테온,빅파이초코파이,6,5,2,1.6
111,1072,패배,렝가,분당고 엄성현,7,6,3,1.6666666666666667
112,1072,패배,오리아나,상어가족,0,7,2,0.2857142857142857
113,1072,패배,바루스,Hades9,1,10,1,0.2
114,1072,패배,미스 포츈,덤벼보던가,0,4,8,2.0
115,1072,승리,나르,ROX Hoon,4,4,1,1.25
116,1072,승리,세주아니,마이엠브,8,1,11,19.0
