,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,241,패배,야스오,프제짱,2,4,3,1.25
1,241,패배,자르반 4세,아라가키 유이,4,4,11,3.75
2,241,패배,말자하,ysdgqxcj,6,7,4,1.4285714285714286
3,241,패배,미스 포츈,담원 얼라이브,5,4,10,3.75
4,241,패배,탐 켄치,중요한건마음가짐,1,6,13,2.3333333333333335
5,241,승리,초가스,담원 베리릴,12,1,3,15.0
6,241,승리,세주아니,삼성갤럭시 하루,4,3,15,6.333333333333333
7,241,승리,빅토르,승 로,4,5,6,2.0
8,241,승리,진,Rachel Berry,2,4,13,3.75
9,241,승리,제라스,JAG SnowFlower,3,5,13,3.2
10,242,패배,갱플랭크,BtC Dove,4,7,6,1.4285714285714286
11,242,패배,자르반 4세,아라가키 유이,4,5,9,2.6
12,242,패배,아지르,삼성갤럭시 Crown,8,5,5,2.6
13,242,패배,진,아이러니,7,7,5,1.7142857142857142
14,242,패배,알리스타,BtC Joker,1,10,11,1.2
15,242,승리,케넨,암고잉빽투더스탙,5,5,5,2.0
16,242,승리,룰루,IGS Doran,6,4,16,5.5
17,242,승리,탈리야,KDM PERT,8,6,8,2.6666666666666665
18,242,승리,칼리스타,어껭간만에찾아뵙,12,4,15,6.75
19,242,승리,레오나,호잇이,3,5,24,5.4
20,243,패배,마오카이,cbzOvO,1,3,2,1.0
21,243,패배,세주아니,아라가키 유이,3,4,2,1.25
22,243,패배,신드라,BadeMan,1,7,2,0.42857142857142855
23,243,패배,칼리스타,wojiuyizhangzui,1,3,1,0.6666666666666666
24,243,패배,블리츠크랭크,트와이스 원스,2,6,3,0.8333333333333334
25,243,승리,갱플랭크,FeelsSosoMan,2,2,8,5.0
26,243,승리,킨드레드,FJHGGJ,3,2,8,5.5
27,243,승리,조이,love left,10,1,4,14.0
28,243,승리,바루스,원딜둥이,4,2,4,4.0
29,243,승리,브라움,fengquyunbuhui,4,1,9,13.0
30,244,패배,제이스,암고잉빽투더스탙,4,6,6,1.6666666666666667
31,244,패배,리 신,아라가키 유이,4,6,9,2.1666666666666665
32,244,패배,신드라,IGS Dasher,3,6,5,1.3333333333333333
33,244,패배,진,원딜둥이,7,8,2,1.125
34,244,패배,제라스,Co2dplay,2,10,6,0.8
35,244,승리,이렐리아,Heiz4,7,7,7,2.0
36,244,승리,자르반 4세,Twink1e,9,2,11,10.0
37,244,승리,탈리야,bbq Tempt,7,5,5,2.4
38,244,승리,칼리스타,VIP 민형,9,4,7,4.0
39,244,승리,쉔,담원 베리릴,4,2,12,8.0
40,245,승리,카밀,우에하라 크롱,6,6,4,1.6666666666666667
41,245,승리,세주아니,아라가키 유이,3,1,19,22.0
42,245,승리,탈리야,미율치에오,3,3,15,6.0
43,245,승리,미스 포츈,SnakeLight,14,3,5,6.333333333333333
44,245,승리,레오나,fengquyunbuhui,2,2,17,9.5
45,245,패배,마오카이,mide gui tou,2,5,4,1.2
46,245,패배,렉사이,Wilder,5,7,0,0.7142857142857143
47,245,패배,르블랑,성혁님미드가신다,6,4,3,2.25
48,245,패배,칼리스타,BtC Dove,2,6,5,1.1666666666666667
49,245,패배,쉔,담원 베리릴,0,6,9,1.5
50,246,승리,케넨,삶이힘든사람,7,0,8,inf
51,246,승리,자르반 4세,아라가키 유이,5,2,20,12.5
52,246,승리,말자하,ROX Iava,2,3,12,4.666666666666667
53,246,승리,드레이븐,해강고원딜 팬,10,2,4,7.0
54,246,승리,블리츠크랭크,슬프다고말하면,3,4,12,3.75
55,246,패배,라이즈,kfo,0,6,2,0.3333333333333333
56,246,패배,렝가,FeelsSosoMan,3,9,3,0.6666666666666666
57,246,패배,코르키,kn9ght,3,3,4,2.3333333333333335
58,246,패배,진,천점못찍는벌레,4,4,2,1.5
59,246,패배,미스 포츈,FeelsLovelyMan,1,5,7,1.6
60,247,승리,제이스,jjijiijijljli,6,2,7,6.5
61,247,승리,카직스,FeelsSosoMan,15,4,5,5.0
62,247,승리,카사딘,아라가키 유이,5,0,5,inf
63,247,승리,진,PuncHh,2,0,10,inf
64,247,승리,쉔,160810,3,2,17,10.0
65,247,패배,카밀,암고잉빽투더스탙,2,8,1,0.375
66,247,패배,니달리,욘 드,2,6,2,0.6666666666666666
67,247,패배,라이즈,ROX Iava,2,3,0,0.6666666666666666
68,247,패배,바루스,RRRuleRRR,2,7,2,0.5714285714285714
69,247,패배,제라스,양갱뿌,0,7,4,0.5714285714285714
70,248,승리,나르,삼성갤럭시 Crown,3,4,0,0.75
71,248,승리,자르반 4세,아라가키 유이,10,1,5,15.0
72,248,승리,제라스,ROX Iava,3,2,3,3.0
73,248,승리,진,wjhfjihtiu,3,2,4,3.5
74,248,승리,미스 포츈,양갱뿌,3,0,11,inf
75,248,패배,케넨,1987 Plls,3,4,4,1.75
76,248,패배,리 신,FeelsSosoMan,2,4,4,1.5
77,248,패배,아지르,11 14 9 7 8 20,2,5,1,0.6
78,248,패배,루시안,Republic123,1,4,2,0.75
79,248,패배,쉔,슬프다고말하면,1,5,1,0.4
80,249,패배,마오카이,아라가키 유이,5,5,11,3.2
81,249,패배,자르반 4세,MeteorOvO,9,3,15,8.0
82,249,패배,조이,bbq Tempt,3,7,6,1.2857142857142858
83,249,패배,칼리스타,어껭간만에찾아뵙,12,5,9,4.2
84,249,패배,알리스타,KDM PERT,4,3,15,6.333333333333333
85,249,승리,트런들,Possible tts,2,6,4,1.0
86,249,승리,리 신,PeanuToT,1,4,10,2.75
87,249,승리,아지르,Fotune,9,6,4,2.1666666666666665
88,249,승리,진,160810,7,8,8,1.875
89,249,승리,카르마,BtC Joker,4,9,12,1.7777777777777777
90,250,승리,제이스,KDM PERT,6,6,8,2.3333333333333335
91,250,승리,자르반 4세,아라가키 유이,3,2,22,12.5
92,250,승리,아지르,bbq Tempt,10,3,6,5.333333333333333
93,250,승리,칼리스타,어껭간만에찾아뵙,10,4,10,5.0
94,250,승리,쉔,KDM Secret,4,2,16,10.0
95,250,패배,마오카이,cbzOvO,1,8,3,0.5
96,250,패배,카직스,PeanuToT,6,6,2,1.3333333333333333
97,250,패배,제라스,Fotune,2,7,3,0.7142857142857143
98,250,패배,진,6학년4반장용준,6,7,5,1.5714285714285714
99,250,패배,미스 포츈,BtC Joker,2,5,9,2.2
100,251,패배,럼블,Alielie,5,7,8,1.8571428571428572
101,251,패배,세주아니,아라가키 유이,4,4,12,4.0
102,251,패배,카사딘,KDM PERT,3,6,4,1.1666666666666667
103,251,패배,바루스,어껭간만에찾아뵙,5,9,6,1.2222222222222223
104,251,패배,트런들,양갱뿌,5,7,12,2.4285714285714284
105,251,승리,케넨,최초공개할게요오,3,3,10,4.333333333333333
106,251,승리,리 신,Fotune,8,5,14,4.4
107,251,승리,르블랑,bbq Tempt,7,4,9,4.0
108,251,승리,진,6학년4반장용준,12,4,7,4.75
109,251,승리,미스 포츈,KDM Secret,3,6,15,3.0
110,252,승리,잭스,로리쇼타조아욘,4,0,2,inf
111,252,승리,세주아니,아라가키 유이,3,2,14,8.5
112,252,승리,카타리나,find myself,12,3,5,5.666666666666667
113,252,승리,트리스타나,Rousal,11,3,5,5.333333333333333
114,252,승리,블리츠크랭크,L1sure,0,4,15,3.75
115,252,패배,나르,빅파이초코파이,1,4,2,0.75
116,252,패배,카직스,wo yao qu daye,3,7,7,1.4285714285714286
117,252,패배,라이즈,LFT MID,4,4,5,2.25
118,252,패배,진,Veritas522,3,8,6,1.125
119,252,패배,알리스타,삶이힘든사람,1,7,8,1.2857142857142858
120,253,패배,야스오,카페베네설탕도둑,1,6,3,0.6666666666666666
121,253,패배,엘리스,종학윙,6,5,3,1.8
122,253,패배,트위스티드 페이트,Republic123,3,6,7,1.6666666666666667
123,253,패배,트리스타나,뽀허니,7,6,2,1.5
124,253,패배,알리스타,아라가키 유이,1,3,10,3.6666666666666665
125,253,승리,마오카이,로리쇼타조아욘,8,1,7,15.0
126,253,승리,카직스,Twink1e,4,4,9,3.25
127,253,승리,라이즈,LFT MID,6,4,4,2.5
128,253,승리,칼리스타,FeelsWowMan,7,6,6,2.1666666666666665
129,253,승리,쓰레쉬,supbest,1,3,14,5.0
130,254,패배,트린다미어,572471165,1,6,0,0.16666666666666666
131,254,패배,카직스,sanspareil1,3,4,3,1.5
132,254,패배,제이스,Yaharong,3,3,4,2.3333333333333335
133,254,패배,코그모,아라가키 유이,5,6,1,1.0
134,254,패배,브라움,supbest,1,4,5,1.5
135,254,승리,마오카이,로리쇼타조아욘,4,1,5,9.0
136,254,승리,자르반 4세,XinyiQAQ,6,3,11,5.666666666666667
137,254,승리,탈리야,마레말해뭘말해,5,5,8,2.6
138,254,승리,자야,단군의청춘부재,8,1,7,15.0
139,254,승리,알리스타,twice손채영,0,3,12,4.0
140,255,승리,자르반 4세,Republic123,7,5,15,4.4
141,255,승리,세주아니,아라가키 유이,5,2,16,10.5
142,255,승리,트위스티드 페이트,상어가족,8,0,9,inf
143,255,승리,베인,구름꽃길만걷자,7,5,7,2.8
144,255,승리,소라카,LPL noob ad QAQ,1,6,17,3.0
145,255,패배,레넥톤,세메론,4,5,2,1.2
146,255,패배,엘리스,보노보노와너구리,5,6,4,1.5
147,255,패배,조이,뿡뿡뿡뿡뿡쁑,2,7,5,1.0
148,255,패배,바루스,Hades9,4,5,10,2.8
149,255,패배,알리스타,6학년4반장용준,3,6,10,2.1666666666666665
150,256,승리,갱플랭크,세메론,4,5,15,3.8
151,256,승리,세주아니,아라가키 유이,9,3,13,7.333333333333333
152,256,승리,라이즈,Republic123,8,3,10,6.0
153,256,승리,칼리스타,Hades9,7,5,6,2.6
154,256,승리,소라카,LPL noob ad QAQ,4,6,16,3.3333333333333335
155,256,패배,오른,커피물조절장인,2,7,9,1.5714285714285714
156,256,패배,렝가,보노보노와너구리,11,5,3,2.8
157,256,패배,신드라,뿡뿡뿡뿡뿡쁑,4,5,2,1.2
158,256,패배,미스 포츈,학식먹을나이,4,10,4,0.8
159,256,패배,제라스,6학년4반장용준,1,5,5,1.2
160,257,승리,오른,RVS Poss,5,3,15,6.666666666666667
161,257,승리,자르반 4세,아라가키 유이,4,2,15,9.5
162,257,승리,아지르,꾸자니 똑땅해,10,3,4,4.666666666666667
163,257,승리,진,세메론,7,6,8,2.5
164,257,승리,말파이트,진쟤승,6,4,13,4.75
165,257,패배,제이스,ROX Lindarang,6,10,1,0.7
166,257,패배,세주아니,튀자튀자아,3,6,6,1.5
167,257,패배,르블랑,Hide on bush,2,3,1,1.0
168,257,패배,베인,NekoL,5,7,4,1.2857142857142858
169,257,패배,탐 켄치,GuGer,2,6,8,1.6666666666666667
170,258,승리,제이스,지현이의빗자루,9,1,0,9.0
171,258,승리,세주아니,아라가키 유이,2,1,8,10.0
172,258,승리,르블랑,꾸자니 똑땅해,6,3,4,3.3333333333333335
173,258,승리,시비르,튀자튀자아,3,2,6,4.5
174,258,승리,카르마,GuGer,2,2,5,3.5
175,258,패배,자르반 4세,세메론,0,5,5,1.0
176,258,패배,엘리스,PuncHh,3,4,1,1.0
177,258,패배,아지르,Hide on bush,1,4,3,1.0
178,258,패배,진,Dingchenyu,3,4,3,1.5
179,258,패배,조이,IndonesiaMassage,2,5,5,1.4
180,259,승리,야스오,집중의문제다,3,2,1,2.0
181,259,승리,세주아니,아라가키 유이,7,1,9,16.0
182,259,승리,라이즈,세메론,5,0,6,inf
183,259,승리,이즈리얼,튀자튀자아,7,1,6,13.0
184,259,승리,레오나,6학년4반장용준,2,0,9,inf
185,259,패배,럼블,커피물조절장인,2,5,0,0.4
186,259,패배,니달리,PuncHh,0,6,1,0.16666666666666666
187,259,패배,루시안,꾸자니 똑땅해,1,4,0,0.25
188,259,패배,바루스,학식먹을나이,0,5,1,0.2
189,259,패배,제라스,GuGer,1,4,0,0.25
190,260,승리,잭스,혼자혼자,2,3,2,1.3333333333333333
191,260,승리,카직스,아라가키 유이,9,2,6,7.5
192,260,승리,아지르,21312312414214,7,1,5,12.0
193,260,승리,자야,mentalboomKid,2,3,6,2.6666666666666665
194,260,승리,브라움,xaxaxaxaxa,1,1,9,10.0
195,260,패배,야스오,프제짱,1,3,2,1.0
196,260,패배,자르반 4세,Believe in Allah,4,6,2,1.0
197,260,패배,카사딘,JAG UmTi,3,4,0,0.75
198,260,패배,루시안,Eth4n,1,4,3,1.0
199,260,패배,조이,SKT T1 WoIf,1,4,3,1.0
