,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,581,패배,나르,갱만가드림,1,8,2,0.375
1,581,패배,렝가,kenzhu9,7,4,2,2.25
2,581,패배,라이즈,마산가자,1,8,3,0.5
3,581,패배,바루스,아이러니,2,5,2,0.8
4,581,패배,브라움,GuGer,0,4,3,0.75
5,581,승리,카밀,덤벼보던가,10,6,4,2.3333333333333335
6,581,승리,자르반 4세,KDM PERT,7,1,13,20.0
7,581,승리,아지르,진에어 저스티스,3,1,7,10.0
8,581,승리,미스 포츈,SKT T1 Bang,4,0,6,inf
9,581,승리,쉔,Dutch Coffee,5,3,9,4.666666666666667
10,582,승리,말파이트,mid push gogo,4,3,6,3.3333333333333335
11,582,승리,자르반 4세,Heart,5,3,19,8.0
12,582,승리,탈리야,삼성갤럭시 Crown,5,7,9,2.0
13,582,승리,미스 포츈,아이러니,9,4,9,4.5
14,582,승리,카르마,Empmuyi,3,2,15,9.0
15,582,패배,트런들,Eth4n,3,3,7,3.3333333333333335
16,582,패배,렝가,DS XiaoPeng,8,7,6,2.0
17,582,패배,카타리나,진에어 저스티스,6,6,2,1.3333333333333333
18,582,패배,진,상어가족,1,5,6,1.4
19,582,패배,쓰레쉬,PeanuToT,1,5,6,1.4
20,583,승리,마오카이,지현이의빗자루,7,3,14,7.0
21,583,승리,트리스타나,작전동 노란머리,6,6,6,2.0
22,583,승리,탈리야,SKT T1 Bang,11,6,11,3.6666666666666665
23,583,승리,바루스,아이러니,11,2,10,10.5
24,583,승리,브라움,슬프다고말하면,4,2,19,11.5
25,583,패배,제이스,SKT T1 Untara,3,7,2,0.7142857142857143
26,583,패배,엘리스,ROX Se0ngHwan,4,7,6,1.4285714285714286
27,583,패배,르블랑,11 14 9 7 8 20,9,7,1,1.4285714285714286
28,583,패배,칼리스타,LPL noob ad QAQ,3,9,4,0.7777777777777778
29,583,패배,레오나,우지나 나 갸영이,0,9,4,0.4444444444444444
30,584,승리,카밀,최초공개할게요오,15,2,8,11.5
31,584,승리,니달리,FeelsSosoMan,13,1,8,21.0
32,584,승리,카사딘,FVV BETTY,4,6,7,1.8333333333333333
33,584,승리,미스 포츈,아이러니,13,1,12,25.0
34,584,승리,소라카,구운몽임,1,2,23,12.0
35,584,패배,피오라,세메론,3,9,1,0.4444444444444444
36,584,패배,리 신,5gak,6,9,2,0.8888888888888888
37,584,패배,라이즈,Yaharong,3,10,2,0.5
38,584,패배,진,마이엠브,0,9,2,0.2222222222222222
39,584,패배,제라스,선기박,0,9,5,0.5555555555555556
40,585,승리,갱플랭크,삶이힘든사람,7,2,5,6.0
41,585,승리,자르반 4세,ROX Se0ngHwan,5,5,18,4.6
42,585,승리,카사딘,PeanuToT,11,6,5,2.6666666666666665
43,585,승리,바루스,아이러니,7,4,10,4.25
44,585,승리,레오나,호잇이,8,3,18,8.666666666666666
45,585,패배,카밀,세메론,4,8,6,1.25
46,585,패배,엘리스,5gak,3,7,5,1.1428571428571428
47,585,패배,조이,11 14 9 7 8 20,6,7,3,1.2857142857142858
48,585,패배,진,Afreeca Aiming,2,8,8,1.25
49,585,패배,미스 포츈,선기박,5,8,6,1.375
50,586,승리,피오라,SKT T1 Untara,4,2,3,3.5
51,586,승리,카직스,5gak,6,2,5,5.5
52,586,승리,아지르,11 14 9 7 8 20,11,3,5,5.333333333333333
53,586,승리,바루스,아이러니,1,0,5,inf
54,586,승리,바드,선기박,2,4,8,2.5
55,586,패배,마오카이,푸딩은푸딩해,2,6,5,1.1666666666666667
56,586,패배,세주아니,마이엠브,1,6,2,0.5
57,586,패배,제이스,Heart,2,5,2,0.8
58,586,패배,진,SKT T1 Bang,5,3,2,2.3333333333333335
59,586,패배,제라스,FeelsLovelyMan,1,4,6,1.75
60,587,패배,럼블,쌀국수뚝붸기,1,4,1,0.5
61,587,패배,쉬바나,마이엠브,2,3,1,1.0
62,587,패배,아지르,단군의청춘부재,0,4,1,0.25
63,587,패배,애쉬,아이러니,0,2,1,0.5
64,587,패배,블리츠크랭크,Avicii fans,2,5,1,0.6
65,587,승리,오른,7hal,1,0,4,inf
66,587,승리,카직스,쁘띠예리사랑해요,3,2,12,7.5
67,587,승리,블라디미르,MVP Ian,2,3,3,1.6666666666666667
68,587,승리,시비르,비 브이 오 와이,10,0,5,inf
69,587,승리,카르마,YserAoA,2,0,12,inf
70,588,패배,헤카림,xiaolonda,3,11,9,1.0909090909090908
71,588,패배,진,아이러니,2,1,8,10.0
72,588,패배,럼블,깜빡졸음번쩍저승,5,8,6,1.375
73,588,패배,빅토르,Heart,6,7,2,1.1428571428571428
74,588,패배,탐 켄치,Sim Student,2,5,8,2.0
75,588,승리,신드라,송하영 팬,9,4,13,5.5
76,588,승리,바루스,Rain1ng,4,5,6,2.0
77,588,승리,제이스,Like Waves,12,2,12,12.0
78,588,승리,블리츠크랭크,한쿡말알아,1,6,14,2.5
79,588,승리,쉬바나,작전동 노란머리,6,1,12,18.0
80,589,패배,오른,내 마음 아프니까,3,8,12,1.875
81,589,패배,카직스,작전동 노란머리,14,9,6,2.2222222222222223
82,589,패배,카사딘,mide gui tou,5,8,3,1.0
83,589,패배,이즈리얼,아이러니,5,6,9,2.3333333333333335
84,589,패배,브라움,한쿡말알아,0,5,12,2.4
85,589,승리,마오카이,Heart,3,6,15,3.0
86,589,승리,자르반 4세,DaYE,11,3,22,11.0
87,589,승리,신드라,송하영 팬,12,5,7,3.8
88,589,승리,시비르,성민콩,8,8,12,2.5
89,589,승리,잔나,Lvmao,2,5,25,5.4
90,590,패배,오른,7hal,7,6,12,3.1666666666666665
91,590,패배,자르반 4세,DaYE,4,8,15,2.375
92,590,패배,카타리나,챌 희,8,9,5,1.4444444444444444
93,590,패배,미스 포츈,아이러니,4,10,7,1.1
94,590,패배,알리스타,시즌8빡고수ad1,3,9,13,1.7777777777777777
95,590,승리,마오카이,니달리버프좀해줘,5,4,21,6.5
96,590,승리,카직스,작전동 노란머리,14,5,10,4.8
97,590,승리,아지르,Heart,7,6,15,3.6666666666666665
98,590,승리,애쉬,VIP 민형,13,5,18,6.2
99,590,승리,브라움,Lvmao,3,6,28,5.166666666666667
100,591,승리,트런들,7hal,0,0,0,
101,591,승리,카직스,ROX Se0ngHwan,5,2,5,5.0
102,591,승리,카사딘,Heart,3,2,7,5.0
103,591,승리,미스 포츈,아이러니,4,1,4,8.0
104,591,승리,쉔,Lvmao,4,0,7,inf
105,591,패배,올라프,코w코,1,0,0,inf
106,591,패배,리 신,마산가자,0,3,1,0.3333333333333333
107,591,패배,르블랑,mcmglllc,2,6,1,0.5
108,591,패배,바루스,푸딩은푸딩해,0,3,1,0.3333333333333333
109,591,패배,알리스타,supbest,1,4,1,0.5
110,592,패배,잭스,Kingen,3,6,1,0.6666666666666666
111,592,패배,렉사이,Lehends,2,5,4,1.2
112,592,패배,라이즈,이도류,2,3,3,1.6666666666666667
