,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1639,패배,카밀,오뚜기3분미트볼,2,3,2,1.3333333333333333
1,1639,패배,렉사이,Please find it,0,7,1,0.14285714285714285
2,1639,패배,카사딘,TeachersWu,2,5,3,1.0
3,1639,패배,진,nekoneko1,1,5,4,1.0
4,1639,패배,알리스타,Empmuyi,2,3,4,2.0
5,1639,승리,자르반 4세,내 마음 아프니까,3,0,7,inf
6,1639,승리,리 신,TeawaN,5,4,2,1.75
7,1639,승리,아지르,mcmglllc,8,2,4,6.0
8,1639,승리,미스 포츈,아이러니,6,1,7,13.0
9,1639,승리,모르가나,우르프rider,1,0,13,inf
10,1640,승리,나르,오뚜기3분미트볼,6,2,1,3.5
11,1640,승리,리 신,호주 AD,3,4,7,2.5
12,1640,승리,카타리나,duibuqiziji,9,3,4,4.333333333333333
13,1640,승리,칼리스타,담원 얼라이브,10,5,6,3.2
14,1640,승리,레오나,DWG BeryL,1,6,15,2.6666666666666665
15,1640,패배,케넨,커피물조절장인,3,3,7,3.3333333333333335
16,1640,패배,자르반 4세,yizhiyu,1,5,4,1.0
17,1640,패배,제라스,Fotune,7,4,5,3.0
18,1640,패배,징크스,종학윙,7,8,7,1.75
19,1640,패배,알리스타,1987 Plls,2,9,9,1.2222222222222223
20,1641,패배,제이스,오뚜기3분미트볼,1,6,3,0.6666666666666666
21,1641,패배,렝가,종학윙,1,6,5,1.0
22,1641,패배,블라디미르,성혁님미드가신다,3,4,1,1.0
23,1641,패배,진,호주 AD,3,3,5,2.6666666666666665
24,1641,패배,조이,Ganked by mom,2,8,2,0.5
25,1641,승리,사이온,이기자 할수있다,1,2,7,4.0
26,1641,승리,카직스,진쟤승,11,3,7,6.0
27,1641,승리,아지르,CooN,3,1,5,8.0
28,1641,승리,케이틀린,DWG BeryL,10,2,5,7.5
29,1641,승리,쓰레쉬,쌀국수뚝붸기,2,2,10,6.0
30,1642,패배,자르반 4세,오뚜기3분미트볼,2,9,6,0.8888888888888888
31,1642,패배,세주아니,ROX Se0ngHwan,2,8,3,0.625
32,1642,패배,카사딘,love left,6,3,4,3.3333333333333335
33,1642,패배,바루스,호주 AD,3,8,7,1.25
34,1642,패배,탐 켄치,슬프다고말하면,2,4,4,1.5
35,1642,승리,카밀,ADEPT1,7,2,9,8.0
36,1642,승리,니달리,종학윙,7,3,12,6.333333333333333
37,1642,승리,오리아나,IGS Dasher,6,2,10,8.0
38,1642,승리,코그모,혼자가 편해졌어,6,6,12,3.0
39,1642,승리,쉔,DWG BeryL,6,2,15,10.5
40,1643,패배,쉔,RVS Poss,3,3,3,2.0
41,1643,패배,트리스타나,작전동 노란머리,6,9,1,0.7777777777777778
42,1643,패배,아지르,CooN,3,6,5,1.3333333333333333
43,1643,패배,애쉬,오뚜기3분미트볼,1,6,6,1.1666666666666667
44,1643,패배,레오나,다시 돌아갈까요,3,8,8,1.375
45,1643,승리,갱플랭크,JAG S0hwan,8,1,9,17.0
46,1643,승리,니달리,해운대잠만보,3,7,13,2.2857142857142856
47,1643,승리,라이즈,LFT MID,7,4,11,4.5
48,1643,승리,진,fndasjkfkqw,9,4,11,5.0
49,1643,승리,미스 포츈,슬프다고말하면,5,0,20,inf
50,1644,패배,오른,오뚜기3분미트볼,3,6,10,2.1666666666666665
51,1644,패배,마스터 이,진쟤승,10,12,3,1.0833333333333333
52,1644,패배,아지르,he  nan    yu,2,5,6,1.6
53,1644,패배,바루스,CooN,1,11,7,0.7272727272727273
54,1644,패배,알리스타,VeryBitter,2,10,4,0.6
55,1644,승리,갱플랭크,우르프rider,4,4,11,3.75
56,1644,승리,니달리,sanspareil1,8,3,13,7.0
57,1644,승리,탈리야,IGS Dasher,8,4,10,4.5
58,1644,승리,칼리스타,TnTeddy,22,5,11,6.6
59,1644,승리,브라움,JAG Wraith,2,3,25,9.0
60,1645,승리,요릭,나는여자가좋아요,4,1,3,7.0
61,1645,승리,니달리,Orianna Reveck,8,0,3,inf
62,1645,승리,아지르,chirchri,5,0,2,inf
63,1645,승리,진,F0y,7,0,4,inf
64,1645,승리,블리츠크랭크,오뚜기3분미트볼,1,3,5,2.0
65,1645,패배,일라오이,xaxaxaxaxa,0,6,0,0.0
66,1645,패배,렝가,chijixuanshou,0,4,0,0.0
67,1645,패배,말자하,성혁님미드가신다,0,5,1,0.2
68,1645,패배,이즈리얼,세메론,1,4,3,1.0
69,1645,패배,자이라,LFT MID,3,6,1,0.6666666666666666
70,1646,패배,갱플랭크,오뚜기3분미트볼,4,3,8,4.0
71,1646,패배,자르반 4세,우철짱123,1,7,5,0.8571428571428571
72,1646,패배,카타리나,담원 쇼메이커,8,6,0,1.3333333333333333
73,1646,패배,애쉬,chirchri,1,10,4,0.5
74,1646,패배,쉔,담원 호잇이,2,9,7,1.0
75,1646,승리,판테온,커피물조절장인,4,5,8,2.4
76,1646,승리,세주아니,F0y,5,1,22,27.0
77,1646,승리,아지르,LFT MID,11,2,15,13.0
78,1646,승리,진,아이러니,6,4,20,6.5
79,1646,승리,제라스,진쟤승,9,4,17,6.5
80,1647,승리,나르,오뚜기3분미트볼,0,2,2,1.0
81,1647,승리,니달리,F0y,4,3,5,3.0
82,1647,승리,탈리야,chirchri,5,2,4,4.5
83,1647,승리,트리스타나,Republic123,10,2,5,7.5
84,1647,승리,제라스,진쟤승,5,1,13,18.0
85,1647,패배,럼블,커피물조절장인,2,3,1,1.0
86,1647,패배,자르반 4세,일견무시도성빈,4,6,2,1.0
87,1647,패배,라이즈,LFT MID,2,4,2,1.0
88,1647,패배,미스 포츈,아이러니,2,6,2,0.6666666666666666
89,1647,패배,피들스틱,성혁님미드가신다,0,5,4,0.8
90,1648,승리,케넨,안락주민,4,3,7,3.6666666666666665
91,1648,승리,세주아니,F0y,9,1,11,20.0
92,1648,승리,조이,Jin air Yaharong,9,2,7,8.0
93,1648,승리,진,튀자튀자아,8,6,9,2.8333333333333335
94,1648,승리,미스 포츈,오뚜기3분미트볼,5,7,9,2.0
95,1648,패배,이렐리아,우르프rider,4,5,2,1.2
96,1648,패배,렝가,죠토마킹,3,9,3,0.6666666666666666
97,1648,패배,아지르,LFT MID,4,9,1,0.5555555555555556
98,1648,패배,바루스,아이러니,3,5,6,1.8
99,1648,패배,제라스,진쟤승,5,7,8,1.8571428571428572
100,1649,승리,제이스,오뚜기3분미트볼,5,3,2,2.3333333333333335
101,1649,승리,자크,F0y,4,1,14,18.0
102,1649,승리,탈리야,chirchri,17,2,4,10.5
103,1649,승리,애쉬,튀자튀자아,1,6,16,2.8333333333333335
104,1649,승리,제라스,KDM PERT,1,3,11,4.0
105,1649,패배,오른,Gon123,2,4,1,0.75
106,1649,패배,자르반 4세,yizhiyu,6,9,4,1.1111111111111112
107,1649,패배,벨코즈,멸룡마도사 나츠,2,5,2,0.8
108,1649,패배,바루스,아이러니,3,3,3,2.0
109,1649,패배,블리츠크랭크,진쟤승,2,7,3,0.7142857142857143
110,1650,패배,카밀,오뚜기3분미트볼,6,9,2,0.8888888888888888
111,1650,패배,자르반 4세,진에어 테디,9,9,13,2.4444444444444446
112,1650,패배,조이,FeelsAwesomeMan,5,7,4,1.2857142857142858
113,1650,패배,바루스,fndasjkfkqw,4,3,5,3.0
114,1650,패배,카르마,DDDDNNNN,3,3,11,4.666666666666667
115,1650,승리,마오카이,xk4nk4vpn,4,7,7,1.5714285714285714
116,1650,승리,리 신,TeawaN,12,5,12,4.8
117,1650,승리,말자하,Hide on bush,6,4,11,4.25
118,1650,승리,진,장난 꾸러기 돼지,6,8,11,2.125
119,1650,승리,제라스,Sim Student,3,3,11,4.666666666666667
120,1651,패배,케넨,오뚜기3분미트볼,3,11,6,0.8181818181818182
121,1651,패배,자르반 4세,yizhiyu,6,11,18,2.1818181818181817
122,1651,패배,조이,Siste aeterno,7,12,8,1.25
123,1651,패배,미스 포츈,fndasjkfkqw,15,8,6,2.625
124,1651,패배,블리츠크랭크,진쟤승,3,7,15,2.5714285714285716
125,1651,승리,나르,암고잉빽투더스탙,12,6,9,3.5
126,1651,승리,카직스,PeanuToT,9,8,10,2.375
127,1651,승리,르블랑,Hide on bush,18,6,11,4.833333333333333
128,1651,승리,이즈리얼,whisper snow,8,7,11,2.7142857142857144
129,1651,승리,카르마,12월27,2,7,24,3.7142857142857144
130,1652,패배,마오카이,오뚜기3분미트볼,3,7,1,0.5714285714285714
131,1652,패배,자르반 4세,FeelsPepsiMan,4,6,5,1.5
132,1652,패배,아지르,Hide on bush,1,4,6,1.75
133,1652,패배,진,fndasjkfkqw,3,5,0,0.6
134,1652,패배,탐 켄치,12월27,0,7,5,0.7142857142857143
135,1652,승리,제이스,JAG S0hwan,5,4,9,3.5
136,1652,승리,렝가,twice손채영,8,4,9,4.25
137,1652,승리,르블랑,chirchri,6,2,4,5.0
138,1652,승리,칼리스타,학식먹을나이,7,0,10,inf
139,1652,승리,블리츠크랭크,IgNar,3,1,13,16.0
140,1653,패배,갱플랭크,오뚜기3분미트볼,12,3,10,7.333333333333333
141,1653,패배,렉사이,담원 얼라이브,5,12,4,0.75
142,1653,패배,제이스,진에어 테디,3,14,6,0.6428571428571429
143,1653,패배,진,AGanQAQ,4,8,7,1.375
144,1653,패배,잔나,YOYOuuuuuO,0,6,13,2.1666666666666665
145,1653,승리,카밀,돌잔치때도란잡음,5,7,3,1.1428571428571428
146,1653,승리,리 신,성혁님미드가신다,16,3,13,9.666666666666666
147,1653,승리,탈리야,xiaolonda,12,5,14,5.2
148,1653,승리,루시안,학식먹을나이,6,4,16,5.5
149,1653,승리,쉔,DWG BeryL,4,5,17,4.2
150,1654,패배,럼블,오뚜기3분미트볼,21,7,11,4.571428571428571
151,1654,패배,렉사이,Afreeca M0wgli,4,11,13,1.5454545454545454
152,1654,패배,야스오,프제짱,7,10,6,1.3
153,1654,패배,진,세메론,9,9,10,2.111111111111111
154,1654,패배,브랜드,V1cissitvsdes,8,13,7,1.1538461538461537
155,1654,승리,케넨,love left,3,22,3,0.2727272727272727
156,1654,승리,카직스,CoMATnT,19,7,12,4.428571428571429
157,1654,승리,빅토르,성민콩,5,11,17,2.0
158,1654,승리,이즈리얼,Veritas522,13,5,20,6.6
159,1654,승리,제라스,DWG ShowMaker,10,6,22,5.333333333333333
160,1655,패배,초가스,진쟤승,7,9,13,2.2222222222222223
161,1655,패배,헤카림,JAG S0hwan,7,11,12,1.7272727272727273
162,1655,패배,말자하,오뚜기3분미트볼,8,11,12,1.8181818181818181
163,1655,패배,트리스타나,whisper snow,10,6,12,3.6666666666666665
164,1655,패배,탐 켄치,루시퍼메이데이,2,9,13,1.6666666666666667
