,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1779,승리,카밀,오억만,7,14,8,1.0714285714285714
1,1779,승리,엘리스,7895123,3,6,12,2.5
2,1779,승리,아지르,By myself,7,5,6,2.6
3,1779,승리,이즈리얼,Greed A Pride,8,4,9,4.25
4,1779,승리,쓰레쉬,슬프다고말하면,2,6,15,2.8333333333333335
5,1779,패배,갱플랭크,Delicious Fish,10,8,7,2.125
6,1779,패배,카직스,점점나의마음이끌,8,6,11,3.1666666666666665
7,1779,패배,탈리야,푸딩은푸딩해,8,4,10,4.5
8,1779,패배,진,chirchri,9,5,8,3.4
9,1779,패배,탐 켄치,Nova1,0,5,17,3.4
10,1780,승리,오른,삶이힘든사람,4,6,21,4.166666666666667
11,1780,승리,렝가,오억만,11,13,12,1.7692307692307692
12,1780,승리,말자하,Heart,14,11,16,2.727272727272727
13,1780,승리,진,chirchri,17,7,20,5.285714285714286
14,1780,승리,제라스,세메론,8,9,22,3.3333333333333335
15,1780,패배,제이스,암고잉빽투더스탙,10,10,8,1.8
16,1780,패배,카직스,7895123,13,11,12,2.272727272727273
17,1780,패배,이즈리얼,deft123456,11,11,10,1.9090909090909092
18,1780,패배,미스 포츈,비 브이 오 와이,7,9,10,1.8888888888888888
19,1780,패배,카르마,SKT T1 WoIf,5,13,13,1.3846153846153846
20,1781,,쉬바나,오억만,0,0,0,
21,1781,,피들스틱,1414774182,0,0,0,
22,1781,,미스 포츈,Heart,0,0,0,
23,1781,,마오카이,Afreeca Kuro,0,0,0,
24,1781,,바루스,좋은날,0,1,0,0.0
25,1781,,브라움,pokeryo,0,0,1,inf
26,1781,,나르,ROX Lindarang,0,0,0,
27,1781,,자르반 4세,PuncHh,0,0,0,
28,1781,,이즈리얼,deft123456,1,0,0,inf
29,1781,,오리아나,삼성갤럭시 Crown,0,0,0,
30,1782,패배,올라프,코w코,2,6,5,1.1666666666666667
31,1782,패배,자르반 4세,오억만,3,8,15,2.25
32,1782,패배,오리아나,TeachersWu,1,9,7,0.8888888888888888
33,1782,패배,트리스타나,fndasjkfkqw,16,5,4,4.0
34,1782,패배,마오카이,진쟤승,4,6,17,3.5
35,1782,승리,갱플랭크,피넛사냥개2,9,2,9,9.0
36,1782,승리,카직스,kenzhu9,7,5,8,3.0
37,1782,승리,신드라,FeelsCoffeeMan,5,2,13,9.0
38,1782,승리,이즈리얼,덤벼보던가,7,8,14,2.625
39,1782,승리,바드,Afreeca Kuro,6,9,15,2.3333333333333335
40,1783,승리,오른,암고잉빽투더스탙,5,2,9,7.0
41,1783,승리,쉬바나,yizhiyu,11,1,6,17.0
42,1783,승리,라이즈,오억만,1,1,1,2.0
43,1783,승리,칼리스타,구름꽃길만걷자,6,4,4,2.5
44,1783,승리,모르가나,BtC Joker,2,4,10,3.0
45,1783,패배,갱플랭크,피넛사냥개2,2,8,4,0.75
46,1783,패배,니달리,종학윙,6,2,3,4.5
47,1783,패배,오리아나,Boldness,0,3,4,1.3333333333333333
48,1783,패배,바루스,원딜둥이,3,7,2,0.7142857142857143
49,1783,패배,레오나,fengquyunbuhui,1,5,5,1.2
50,1784,패배,카밀,암고잉빽투더스탙,7,6,5,2.0
51,1784,패배,세주아니,오억만,7,7,11,2.5714285714285716
52,1784,패배,야스오,kenzhu9,4,9,10,1.5555555555555556
53,1784,패배,미스 포츈,Dingchenyu,6,13,4,0.7692307692307693
54,1784,패배,제라스,ROX Hoon,5,7,12,2.4285714285714284
55,1784,승리,피오라,baramgaebi,7,4,11,4.5
56,1784,승리,쉬바나,yizhiyu,16,3,11,9.0
57,1784,승리,조이,으아으앙으아앙,4,7,14,2.5714285714285716
58,1784,승리,이즈리얼,ZhanQiHuaYm,8,8,14,2.75
59,1784,승리,쓰레쉬,chijixuanshou,7,7,23,4.285714285714286
60,1785,승리,사이온,Eth4n,1,1,8,9.0
61,1785,승리,카직스,오억만,17,2,5,11.0
62,1785,승리,아지르,진에어 저스티스,2,3,9,3.6666666666666665
63,1785,승리,트리스타나,Please find it,6,7,5,1.5714285714285714
64,1785,승리,오른,KT MATA,2,2,15,8.5
65,1785,패배,제이스,Alielie,5,6,1,1.0
66,1785,패배,리 신,chorongie,3,6,3,1.0
67,1785,패배,르블랑,11 14 9 7 8 20,3,6,3,1.0
68,1785,패배,진,GALAAAA,2,5,7,1.8
69,1785,패배,마오카이,Yumemiru Shonen,2,5,4,1.2
70,1786,승리,블라디미르,춘봉박,5,3,3,2.6666666666666665
71,1786,승리,자르반 4세,오억만,6,2,8,7.0
72,1786,승리,제이스,커닝시티 피그미,9,6,3,2.0
73,1786,승리,미스 포츈,먹는건즐거워,4,2,10,7.0
74,1786,승리,바드,YserAoA,2,2,14,8.0
75,1786,패배,카밀,JAG S0hwan,3,3,4,2.3333333333333335
76,1786,패배,카직스,FeelsAwesomeMan,3,6,4,1.1666666666666667
77,1786,패배,카르마,Yaharong,4,7,3,1.0
78,1786,패배,진,jjijiijijljli,2,5,4,1.2
79,1786,패배,탐 켄치,fengquyunbuhui,3,5,5,1.6
80,1787,승리,아트록스,커피물조절장인,0,5,0,0.0
81,1787,승리,세주아니,오억만,2,3,12,4.666666666666667
82,1787,승리,오리아나,상어가족,5,0,11,inf
83,1787,승리,이즈리얼,STITCH1,10,2,7,8.5
84,1787,승리,알리스타,단군의청춘부재,2,3,14,5.333333333333333
85,1787,패배,럼블,RVS Poss,3,3,6,3.0
86,1787,패배,자르반 4세,작전동 노란머리,1,4,10,2.75
87,1787,패배,라이즈,FeelsAwesomeMan,4,5,4,1.6
88,1787,패배,진,ROX Sangyoon,4,1,6,10.0
89,1787,패배,블리츠크랭크,해운대잠만보,1,6,7,1.3333333333333333
90,1788,패배,올라프,Alielie,12,5,6,3.6
91,1788,패배,자크,오억만,3,10,10,1.3
92,1788,패배,탈리야,FeelsCoffeeMan,4,8,15,2.375
93,1788,패배,바루스,피넛사냥개2,1,9,9,1.1111111111111112
94,1788,패배,미스 포츈,MataMataMata,5,5,5,2.0
95,1788,승리,오른,UcaL,6,6,13,3.1666666666666665
96,1788,승리,카직스,좋은날,6,8,15,2.625
97,1788,승리,르블랑,Yaharong,11,5,11,4.4
98,1788,승리,진,Rachel Berry,11,2,11,11.0
99,1788,승리,알리스타,whisper snow,3,4,16,4.75
100,1789,승리,마오카이,chirchri,3,3,5,2.6666666666666665
101,1789,승리,카직스,오억만,10,2,5,7.5
102,1789,승리,트위스티드 페이트,상어가족,4,1,9,13.0
