,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1280,승리,블라디미르,최석배 사생팬,6,6,10,2.6666666666666665
1,1280,승리,초가스,TeachersWu,1,6,5,1.0
2,1280,승리,탈론,PawN God,7,3,5,4.0
3,1280,승리,이즈리얼,삼성갤럭시 Ru1er,13,6,7,3.3333333333333335
4,1280,승리,쉔,은종섭,2,5,16,3.6
5,1280,패배,말자하,7hal,3,9,10,1.4444444444444444
6,1280,패배,카직스,5gak,11,7,5,2.2857142857142856
7,1280,패배,오리아나,LFT MID,7,3,7,4.666666666666667
8,1280,패배,미스 포츈,빅파이초코파이,5,6,9,2.3333333333333335
9,1280,패배,알리스타,선기박,0,4,19,4.75
10,1281,패배,신지드,빅파이초코파이,7,6,4,1.8333333333333333
11,1281,패배,리 신,TeachersWu,0,8,3,0.375
12,1281,패배,오리아나,LFT MID,4,5,5,1.8
13,1281,패배,애쉬,삼성갤럭시 Ru1er,2,6,6,1.3333333333333333
14,1281,패배,브라움,은종섭,0,6,9,1.5
15,1281,승리,오른,7hal,4,3,10,4.666666666666667
16,1281,승리,세주아니,5gak,6,2,11,8.5
17,1281,승리,조이,PawN God,12,4,10,5.5
18,1281,승리,진,해운대잠만보,6,2,10,8.0
19,1281,승리,알리스타,선기박,3,2,14,8.5
20,1282,패배,오른,atlenismydaddy,2,5,15,3.4
21,1282,패배,자르반 4세,dafdfdsdsffsd,10,2,11,10.5
22,1282,패배,카사딘,FVV BETTY,5,8,4,1.125
23,1282,패배,진,Atlen,6,3,12,6.0
24,1282,패배,바드,은종섭,5,1,17,22.0
25,1282,승리,피오라,TOP아빠,4,7,7,1.5714285714285714
26,1282,승리,쉬바나,죠토마킹,4,5,8,2.4
27,1282,승리,아지르,PawN God,5,5,6,2.2
28,1282,승리,시비르,Yeeclipse,2,4,9,2.75
29,1282,승리,잔나,찹 또,4,7,7,1.5714285714285714
30,1283,패배,카밀,최초공개할게요오,8,6,5,2.1666666666666665
31,1283,패배,자르반 4세,pokeryo,5,3,10,5.0
32,1283,패배,블라디미르,wjhfjihtiu,3,5,8,2.2
33,1283,패배,진,어껭간만에찾아뵙,4,6,7,1.8333333333333333
34,1283,패배,조이,은종섭,2,7,8,1.4285714285714286
35,1283,승리,올라프,코w코,4,4,6,2.5
36,1283,승리,쉬바나,일견무시도성빈,4,8,6,1.25
37,1283,승리,말자하,상어가족,2,7,8,1.4285714285714286
38,1283,승리,미스 포츈,VIP 민형,15,2,5,10.0
39,1283,승리,브라움,MVP ADD,2,1,20,22.0
40,1284,승리,오른,JAG S0hwan,5,3,10,5.0
41,1284,승리,자르반 4세,ROX 곰,7,6,22,4.833333333333333
42,1284,승리,르블랑,ROX 라바,16,5,12,5.6
43,1284,승리,진,F0y,13,4,7,5.0
44,1284,승리,블리츠크랭크,은종섭,1,3,19,6.666666666666667
45,1284,패배,갱플랭크,집중의문제다,5,5,4,1.8
46,1284,패배,니달리,J Spectre G,8,9,5,1.4444444444444444
47,1284,패배,오리아나,PuncHh,2,6,2,0.6666666666666666
48,1284,패배,이즈리얼,욘 드,2,10,5,0.7
49,1284,패배,애니,JAG SnowFlower,2,12,9,0.9166666666666666
50,1285,승리,케넨,Like Waves,3,6,9,2.0
