,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1739,승리,올라프,Super Secret,10,0,9,inf
1,1739,승리,자르반 4세,좋은날,4,3,20,8.0
2,1739,승리,라이즈,진에어 테디,10,4,8,4.5
3,1739,승리,바루스,aquariusz,6,4,11,4.25
4,1739,승리,브라움,분당고 엄성현,0,3,23,7.666666666666667
5,1739,패배,쉔,먹는건즐거워,2,5,6,1.6
6,1739,패배,니달리,나는야베이베이1,3,7,8,1.5714285714285714
7,1739,패배,조이,Jin air Yaharong,3,3,5,2.6666666666666665
8,1739,패배,칼리스타,아트가 앗뜨거,5,7,4,1.2857142857142858
9,1739,패배,알리스타,SKT T1 WoIf,1,8,8,1.125
10,1740,패배,카밀,오뚜기3분미트볼,6,9,2,0.8888888888888888
11,1740,패배,자르반 4세,진에어 테디,9,9,13,2.4444444444444446
12,1740,패배,조이,FeelsAwesomeMan,5,7,4,1.2857142857142858
13,1740,패배,바루스,fndasjkfkqw,4,3,5,3.0
14,1740,패배,카르마,DDDDNNNN,3,3,11,4.666666666666667
15,1740,승리,마오카이,xk4nk4vpn,4,7,7,1.5714285714285714
16,1740,승리,리 신,TeawaN,12,5,12,4.8
17,1740,승리,말자하,Hide on bush,6,4,11,4.25
18,1740,승리,진,장난 꾸러기 돼지,6,8,11,2.125
19,1740,승리,제라스,Sim Student,3,3,11,4.666666666666667
20,1741,승리,마오카이,푸딩은푸딩해,2,1,9,11.0
21,1741,승리,렝가,twice손채영,12,4,8,5.0
22,1741,승리,탈리야,ADEPT1,4,6,3,1.1666666666666667
23,1741,승리,칼리스타,진에어 테디,5,3,7,4.0
24,1741,승리,잔나,FW SwordArT,0,2,14,7.0
25,1741,패배,케넨,WENJUNXI,5,5,0,1.0
26,1741,패배,자르반 4세,TeawaN,5,5,6,2.2
27,1741,패배,오리아나,SOLCA1,3,5,7,2.0
28,1741,패배,트리스타나,Martin VG,1,5,3,0.8
29,1741,패배,미스 포츈,Afreeca Kramer,2,3,8,3.3333333333333335
30,1742,승리,제이스,암고잉빽투더스탙,12,1,9,21.0
31,1742,승리,자르반 4세,yizhiyu,4,5,21,5.0
32,1742,승리,아지르,푸딩은푸딩해,7,1,7,14.0
33,1742,승리,진,진에어 테디,6,2,16,11.0
34,1742,승리,탐 켄치,진쟤승,6,4,16,5.5
35,1742,패배,마오카이,우철짱123,3,6,1,0.6666666666666666
36,1742,패배,리 신,9346,2,7,5,1.0
37,1742,패배,베이가,UcaL,0,9,1,0.1111111111111111
38,1742,패배,바루스,Afreeca Kramer,4,8,4,1.0
39,1742,패배,벨코즈,Dutch Coffee,3,5,4,1.4
40,1743,패배,갱플랭크,오뚜기3분미트볼,12,3,10,7.333333333333333
41,1743,패배,렉사이,담원 얼라이브,5,12,4,0.75
42,1743,패배,제이스,진에어 테디,3,14,6,0.6428571428571429
43,1743,패배,진,AGanQAQ,4,8,7,1.375
44,1743,패배,잔나,YOYOuuuuuO,0,6,13,2.1666666666666665
45,1743,승리,카밀,돌잔치때도란잡음,5,7,3,1.1428571428571428
46,1743,승리,리 신,성혁님미드가신다,16,3,13,9.666666666666666
47,1743,승리,탈리야,xiaolonda,12,5,14,5.2
48,1743,승리,루시안,학식먹을나이,6,4,16,5.5
49,1743,승리,쉔,DWG BeryL,4,5,17,4.2
50,1744,패배,신지드,작전동 노란머리,1,13,4,0.38461538461538464
51,1744,패배,자르반 4세,9346,5,9,6,1.2222222222222223
52,1744,패배,다이애나,UcaL,8,11,4,1.0909090909090908
53,1744,패배,진,진에어 테디,5,4,4,2.25
54,1744,패배,미스 포츈,IgNar,3,6,5,1.3333333333333333
55,1744,승리,마오카이,kfo,4,5,11,3.0
56,1744,승리,카직스,twice손채영,19,6,5,4.0
57,1744,승리,조이,담원 쇼메이커,9,7,13,3.142857142857143
58,1744,승리,바루스,담원 얼라이브,8,2,9,8.5
59,1744,승리,블리츠크랭크,담원 호잇이,3,2,14,8.5
60,1745,패배,제이스,춘봉박,3,9,8,1.2222222222222223
61,1745,패배,자르반 4세,sanspareil1,3,11,11,1.2727272727272727
62,1745,패배,베이가,ZhanQiHuaYm,7,8,5,1.5
