,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1519,패배,야스오,Republic123,0,10,0,0.0
1,1519,패배,세주아니,죠토마킹,2,2,2,2.0
2,1519,패배,아지르,mcmglllc,2,6,2,0.6666666666666666
3,1519,패배,진,천점못찍는벌레,2,4,2,1.0
4,1519,패배,레오나,먹는건즐거워,1,6,3,0.6666666666666666
5,1519,승리,마오카이,마이엠브,0,0,13,inf
6,1519,승리,니달리,DS XiaoPeng,12,0,7,inf
7,1519,승리,말자하,성민콩,2,4,8,2.5
8,1519,승리,바루스,아이러니,8,2,5,6.5
9,1519,승리,알리스타,우지나 나 갸영이,6,1,11,17.0
10,1520,패배,럼블,mcmglllc,5,5,2,1.4
11,1520,패배,카직스,pokeryo,2,3,4,2.0
12,1520,패배,라이즈,11 14 9 7 8 20,5,2,3,4.0
13,1520,패배,바루스,천점못찍는벌레,4,3,3,2.3333333333333335
14,1520,패배,레오나,fengquyunbuhui,0,4,9,2.25
15,1520,승리,나르,쌀국수뚝붸기,1,5,6,1.4
16,1520,승리,세주아니,마이엠브,1,2,11,6.0
17,1520,승리,말자하,성민콩,5,4,7,3.0
18,1520,승리,진,먹는건즐거워,5,2,7,6.0
19,1520,승리,쉔,SKT T1 Bang,5,3,7,4.0
20,1521,패배,케넨,마이엠브,4,7,12,2.2857142857142856
21,1521,패배,자르반 4세,XinyiQAQ,2,8,23,3.125
22,1521,패배,카사딘,mide gui tou,16,6,6,3.6666666666666665
23,1521,패배,미스 포츈,천점못찍는벌레,8,7,14,3.142857142857143
24,1521,패배,오른,Lehends,3,9,18,2.3333333333333335
25,1521,승리,럼블,MooJin,8,8,14,2.75
26,1521,승리,세주아니,죠토마킹,3,7,25,4.0
27,1521,승리,루시안,Republic123,9,5,15,4.8
28,1521,승리,진,SKT T1 Bang,17,4,12,7.25
29,1521,승리,쓰레쉬,Gambit Support,0,9,29,3.2222222222222223
30,1522,승리,마오카이,푸딩은푸딩해,1,7,16,2.4285714285714284
31,1522,승리,쉬바나,작전동 노란머리,13,6,5,3.0
32,1522,승리,트위스티드 페이트,TeachersWu,4,8,7,1.375
33,1522,승리,칼리스타,천점못찍는벌레,10,3,7,5.666666666666667
34,1522,승리,바드,YserAoA,1,6,16,2.8333333333333335
35,1522,패배,갱플랭크,쌀국수뚝붸기,9,8,12,2.625
36,1522,패배,세주아니,SKT T1 BIank,2,6,19,3.5
37,1522,패배,아지르,Yaharong,11,6,13,4.0
38,1522,패배,진,비 브이 오 와이,7,5,11,3.6
39,1522,패배,탐 켄치,fengquyunbuhui,1,4,20,5.25
40,1523,패배,일라오이,이기자 할수있다,4,5,11,3.0
41,1523,패배,카직스,FVV BETTY,7,4,11,4.5
42,1523,패배,말자하,GReenshower,5,7,11,2.2857142857142856
43,1523,패배,칼리스타,천점못찍는벌레,4,5,8,2.4
44,1523,패배,레오나,fengquyunbuhui,2,8,13,1.875
45,1523,승리,케넨,WENJUNXI,9,3,10,6.333333333333333
46,1523,승리,자르반 4세,Heart,5,8,17,2.75
47,1523,승리,탈리야,푸딩은푸딩해,4,2,15,9.5
48,1523,승리,진,비 브이 오 와이,8,4,12,5.0
49,1523,승리,탐 켄치,FeelsLovelyMan,3,5,17,4.0
50,1524,패배,나르,이기자 할수있다,0,6,11,1.8333333333333333
51,1524,패배,트리스타나,옷벗고춤추고싶다,4,9,8,1.3333333333333333
52,1524,패배,트위스티드 페이트,TeachersWu,5,12,6,0.9166666666666666
53,1524,패배,진,구름꽃길만걷자,13,6,7,3.3333333333333335
54,1524,패배,쉔,천점못찍는벌레,6,7,12,2.5714285714285716
55,1524,승리,케넨,우르프rider,6,7,12,2.5714285714285716
56,1524,승리,자르반 4세,Boldness,7,5,22,5.8
57,1524,승리,조이,피넛사냥개1,15,6,10,4.166666666666667
58,1524,승리,미스 포츈,그러면안돼요짜샤,11,8,12,2.875
59,1524,승리,잔나,FeelsLovelyMan,1,2,32,16.5
60,1525,패배,올라프,Super Secret,0,2,2,1.0
61,1525,패배,렉사이,Wilder,1,6,1,0.3333333333333333
62,1525,패배,말자하,APK Rainbow,3,5,1,0.8
