,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1499,승리,나르,FeelsCoffeeMan,8,6,12,3.3333333333333335
1,1499,승리,카직스,커닝시티 피그미,15,5,3,3.6
2,1499,승리,말자하,Heart,6,7,8,2.0
3,1499,승리,바루스,sqb,4,4,15,4.75
4,1499,승리,쉔,By myself,0,6,19,3.1666666666666665
5,1499,패배,자르반 4세,Yeeclipse,8,7,12,2.857142857142857
6,1499,패배,세주아니,마이엠브,4,5,15,3.8
7,1499,패배,탈리야,푸딩은푸딩해,8,7,7,2.142857142857143
8,1499,패배,진,GALA,8,8,9,2.125
9,1499,패배,브라움,YOYOuuuuuO,0,6,20,3.3333333333333335
10,1500,승리,카밀,암고잉빽투더스탙,7,3,4,3.6666666666666665
11,1500,승리,카직스,커닝시티 피그미,9,1,7,16.0
12,1500,승리,라이즈,FW Maple,3,0,5,inf
13,1500,승리,바루스,GALAAAA,5,2,8,6.5
14,1500,승리,미스 포츈,Hades9,5,2,9,7.0
15,1500,패배,야스오,트와이스 원스,1,10,1,0.2
16,1500,패배,렝가,DS XiaoPeng,4,4,0,1.0
17,1500,패배,오리아나,종학윙,0,3,0,0.0
18,1500,패배,진,Gon123,2,5,2,0.8
19,1500,패배,제라스,혼자가 편해졌어,1,7,2,0.42857142857142855
20,1501,패배,카밀,Heiz4,0,5,1,0.2
21,1501,패배,렝가,커닝시티 피그미,3,3,1,1.3333333333333333
22,1501,패배,르블랑,멘탈 실력 운,1,5,0,0.2
23,1501,패배,바루스,ROX Sangyoon,1,6,2,0.5
24,1501,패배,쉔,호잇이,0,2,3,1.5
25,1501,승리,잭스,Possible tts,5,1,3,8.0
26,1501,승리,카직스,5gak,2,2,5,3.5
27,1501,승리,조이,By myself,9,0,2,inf
28,1501,승리,진,fengquyunbuhui,3,1,2,5.0
29,1501,승리,알리스타,선기박,2,1,4,6.0
30,1502,패배,카밀,Heiz4,5,7,0,0.7142857142857143
31,1502,패배,세주아니,스마트섹시뷰티,1,7,3,0.5714285714285714
32,1502,패배,라이즈,IGS Dasher,1,4,2,0.75
33,1502,패배,트리스타나,커닝시티 피그미,0,7,1,0.14285714285714285
34,1502,패배,알리스타,호잇이,1,2,3,2.0
35,1502,승리,잭스,미율치에오,6,5,1,1.4
36,1502,승리,쉬바나,yizhiyu,10,0,6,inf
37,1502,승리,카사딘,By myself,6,1,6,12.0
38,1502,승리,진,입이더러운사람,4,1,12,16.0
39,1502,승리,쉔,ROX Sangyoon,1,1,13,14.0
40,1503,패배,사이온,우르프rider,2,6,7,1.5
41,1503,패배,자르반 4세,커닝시티 피그미,11,6,8,3.1666666666666665
42,1503,패배,트위스티드 페이트,ysdgqxcj,1,4,12,3.25
43,1503,패배,코그모,바보처럼 왜,7,4,5,3.0
44,1503,패배,쉔,구직자 쭈스,1,5,12,2.6
45,1503,승리,제이스,Heiz4,2,7,8,1.4285714285714286
46,1503,승리,쉬바나,Cuz2,11,2,9,10.0
47,1503,승리,라이즈,나는야 누구일까,6,4,10,4.0
48,1503,승리,미스 포츈,ROX Sangyoon,5,5,12,3.4
49,1503,승리,소라카,YOYOuuuuuO,1,4,18,4.75
50,1504,승리,블라디미르,kfo,3,4,7,2.5
51,1504,승리,자르반 4세,커닝시티 피그미,6,6,11,2.8333333333333335
52,1504,승리,아지르,미율치에오,4,8,12,2.0
53,1504,승리,미스 포츈,먹는건즐거워,11,5,6,3.4
54,1504,승리,쉔,구직자 쭈스,2,5,13,3.0
55,1504,패배,럼블,우에하라 크롱,7,4,6,3.25
56,1504,패배,렝가,wo yao qu daye,5,5,10,3.0
57,1504,패배,라이즈,Afreeca Ruby,5,5,10,3.0
58,1504,패배,진,LPL noob ad QAQ,7,4,11,4.5
59,1504,패배,바드,Lvmao,4,8,12,2.0
60,1505,승리,나르,Excal1bur1,3,4,9,3.0
61,1505,승리,리 신,커닝시티 피그미,7,3,9,5.333333333333333
62,1505,승리,르블랑,으아으앙으아앙,7,6,7,2.3333333333333335
63,1505,승리,진,삼성갤럭시 Ru1er,7,5,10,3.4
64,1505,승리,자이라,삼성갤럭시CoreJJ,7,4,12,4.75
65,1505,패배,오른,Eth4n,2,4,8,2.5
66,1505,패배,니달리,So1o,4,6,10,2.3333333333333335
67,1505,패배,제드,진에어 저스티스,10,5,3,2.6
68,1505,패배,이즈리얼,GALAAAA,5,10,2,0.7
69,1505,패배,미스 포츈,Empmuyi,1,6,6,1.1666666666666667
70,1506,패배,오른,Eth4n,3,3,6,3.0
71,1506,패배,카직스,커닝시티 피그미,5,5,6,2.2
72,1506,패배,탈리야,으아으앙으아앙,2,3,10,4.0
73,1506,패배,코그모,진에어 저스티스,9,5,4,2.6
74,1506,패배,제라스,진쟤승,8,4,9,4.25
75,1506,승리,자르반 4세,일견무시도성빈,1,6,7,1.3333333333333333
76,1506,승리,니달리,So1o,5,4,8,3.25
77,1506,승리,말자하,호잇이,2,6,6,1.3333333333333333
78,1506,승리,이즈리얼,삼성갤럭시 Ru1er,9,6,7,2.6666666666666665
79,1506,승리,나미,삼성갤럭시CoreJJ,3,5,15,3.6
80,1507,승리,카밀,최초공개할게요오,4,8,8,1.5
81,1507,승리,엘리스,커닝시티 피그미,6,7,8,2.0
82,1507,승리,카사딘,Excal1bur1,7,3,11,6.0
83,1507,승리,미스 포츈,NekoL,14,3,9,7.666666666666667
84,1507,승리,트런들,Lvmao,4,2,23,13.5
85,1507,패배,레넥톤,7hal,2,7,7,1.2857142857142858
86,1507,패배,리 신,7895123,5,7,7,1.7142857142857142
87,1507,패배,제라스,VIP 민형,9,5,5,2.8
88,1507,패배,바루스,Bvoy,4,7,10,2.0
89,1507,패배,쉔,진쟤승,3,9,11,1.5555555555555556
90,1508,승리,나르,커닝시티 피그미,5,5,9,2.8
91,1508,승리,니달리,J Spectre G,12,6,14,4.333333333333333
92,1508,승리,제이스,담원 쇼메이커,6,7,9,2.142857142857143
93,1508,승리,미스 포츈,Bvoy,9,6,14,3.8333333333333335
94,1508,승리,쉔,삼성갤럭시CoreJJ,4,7,18,3.142857142857143
95,1508,패배,케넨,담원 너구리,6,6,12,3.0
96,1508,패배,자르반 4세,pokeryo,3,9,15,2.0
97,1508,패배,트위스티드 페이트,NekoL,5,6,8,2.1666666666666665
98,1508,패배,진,Excal1bur1,12,7,11,3.2857142857142856
99,1508,패배,알리스타,Lvmao,5,8,13,2.25
100,1509,승리,오른,Eth4n,5,5,6,2.2
101,1509,승리,카직스,커닝시티 피그미,8,5,6,2.8
102,1509,승리,애니비아,진에어 저스티스,4,1,10,14.0
103,1509,승리,칼리스타,RRRuleRRR,13,7,5,2.5714285714285716
104,1509,승리,트런들,GuGer,2,1,20,22.0
105,1509,패배,카밀,7hal,5,7,7,1.7142857142857142
106,1509,패배,렝가,DS XiaoPeng,4,8,7,1.375
107,1509,패배,라이즈,덤벼보던가,7,5,3,2.0
108,1509,패배,미스 포츈,FVV BETTY,2,6,9,1.8333333333333333
109,1509,패배,브라움,진쟤승,1,6,9,1.6666666666666667
110,1510,승리,야스오,Eth4n,9,8,1,1.25
111,1510,승리,리 신,커닝시티 피그미,10,3,14,8.0
112,1510,승리,제라스,진에어 저스티스,10,2,11,10.5
113,1510,승리,미스 포츈,덤벼보던가,7,5,11,3.6
114,1510,승리,블리츠크랭크,먹는건즐거워,1,4,18,4.75
115,1510,패배,오른,Heart,1,7,8,1.2857142857142858
116,1510,패배,니달리,DS XiaoPeng,11,6,2,2.1666666666666665
117,1510,패배,아지르,FW Maple,4,6,5,1.5
118,1510,패배,진,RRRuleRRR,3,11,5,0.7272727272727273
119,1510,패배,알리스타,구직자 zzus,3,7,7,1.4285714285714286
120,1511,승리,마오카이,Atlen,2,3,11,4.333333333333333
121,1511,승리,자르반 4세,커닝시티 피그미,9,2,10,9.5
122,1511,승리,피들스틱,1414774182,7,3,10,5.666666666666667
123,1511,승리,이즈리얼,덤벼보던가,9,6,10,3.1666666666666665
124,1511,승리,쉔,먹는건즐거워,4,3,18,7.333333333333333
125,1511,패배,나르,암고잉빽투더스탙,1,8,1,0.25
126,1511,패배,니달리,ZhanQiHuaYm,2,8,7,1.125
127,1511,패배,조이,FW Maple,9,3,1,3.3333333333333335
128,1511,패배,진,삼성갤럭시 Ru1er,3,8,7,1.25
129,1511,패배,알리스타,Mengqiuqiu,2,4,9,2.75
130,1512,패배,오른,7hal,4,8,15,2.375
