,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1420,패배,갱플랭크,RVS Poss,1,4,1,0.5
1,1420,패배,카직스,h1rb,1,1,1,2.0
2,1420,패배,아지르,FW Maple,1,5,0,0.2
3,1420,패배,진,DWG BeryL,1,5,1,0.4
4,1420,패배,알리스타,토마토페이스트,0,5,2,0.4
5,1420,승리,케넨,뒷텔와드점,4,0,3,inf
6,1420,승리,렝가,SKT T1 WoIf,4,1,5,9.0
7,1420,승리,조이,마산가자,5,0,3,inf
8,1420,승리,미스 포츈,Afreeca Aiming,3,3,9,4.0
9,1420,승리,쉔,Lvmao,4,0,7,inf
10,1421,패배,나르,kfo,5,8,16,2.625
11,1421,패배,카직스,J Spectre G,12,8,19,3.875
12,1421,패배,말자하,wo liang le,13,11,19,2.909090909090909
13,1421,패배,자야,Mengqiuqiu,18,9,20,4.222222222222222
14,1421,패배,라칸,토마토페이스트,5,9,36,4.555555555555555
15,1421,승리,카밀,살려줘요 형님아,5,13,12,1.3076923076923077
16,1421,승리,이블린,jinwandalaohu,15,12,16,2.5833333333333335
17,1421,승리,아지르,Hide on bush,7,7,16,3.2857142857142856
18,1421,승리,진,바보팀원,15,10,17,3.2
19,1421,승리,알리스타,TeawaN,3,11,30,3.0
20,1422,승리,뽀삐,VIP 민형,7,4,16,5.75
21,1422,승리,자르반 4세,삼성갤럭시 Crown,14,7,17,4.428571428571429
22,1422,승리,피들스틱,1414774182,13,3,13,8.666666666666666
23,1422,승리,바루스,RRRuleRRR,10,10,9,1.9
24,1422,승리,브라움,토마토페이스트,1,4,22,5.75
25,1422,패배,제이스,Heiz4,11,8,6,2.125
26,1422,패배,카직스,w1sdom ovo,5,8,8,1.625
27,1422,패배,탈리야,푸딩은푸딩해,3,9,5,0.8888888888888888
28,1422,패배,미스 포츈,GALA,3,11,8,1.0
29,1422,패배,쉔,Alielie,6,9,14,2.2222222222222223
30,1423,패배,갱플랭크,SnakeLight,1,4,1,0.5
31,1423,패배,쉬바나,chijixuanshou,4,4,3,1.75
32,1423,패배,베이가,ZhanQiHuaYm,3,3,1,1.3333333333333333
33,1423,패배,진,FVV BETTY,0,3,0,0.0
34,1423,패배,레오나,토마토페이스트,0,4,1,0.25
35,1423,승리,나르,Delicious Fish,1,1,4,5.0
36,1423,승리,마스터 이,Cuz2,7,2,4,5.5
37,1423,승리,르블랑,너와나의연결Gori,4,3,5,3.0
38,1423,승리,미스 포츈,점점나의마음이끌,5,1,6,11.0
39,1423,승리,피들스틱,Hide on bush,1,1,8,9.0
40,1424,패배,케넨,1987 Plls,2,7,3,0.7142857142857143
41,1424,패배,카직스,Cuz2,3,7,2,0.7142857142857143
42,1424,패배,카타리나,h1rb,3,5,3,1.2
43,1424,패배,트리스타나,FVV BETTY,7,4,7,3.5
44,1424,패배,알리스타,토마토페이스트,1,6,10,1.8333333333333333
45,1424,승리,제이스,Delicious Fish,4,3,9,4.333333333333333
46,1424,승리,자르반 4세,점점나의마음이끌,6,2,19,12.5
47,1424,승리,아지르,Hide on bush,7,4,7,3.5
48,1424,승리,칼리스타,SnakeLight,9,4,6,3.75
49,1424,승리,마오카이,GuGer,3,3,15,6.0
50,1425,승리,나르,Delicious Fish,10,2,7,8.5
51,1425,승리,니달리,DS XiaoPeng,7,3,13,6.666666666666667
52,1425,승리,피들스틱,피넛사냥개1,2,5,7,1.8
53,1425,승리,미스 포츈,점점나의마음이끌,6,2,12,9.0
54,1425,승리,레오나,토마토페이스트,3,1,13,16.0
55,1425,패배,카밀,TOP아빠,2,7,2,0.5714285714285714
56,1425,패배,자르반 4세,1987 Plls,4,6,4,1.3333333333333333
57,1425,패배,아지르,Hide on bush,3,5,4,1.4
58,1425,패배,이즈리얼,승 로,3,4,3,1.5
