,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,641,승리,갱플랭크,미율치에오,8,5,11,3.8
1,641,승리,자르반 4세,좋은날,5,7,20,3.5714285714285716
2,641,승리,조이,Jin air Yaharong,13,3,17,10.0
3,641,승리,진,김메피,5,8,12,2.125
4,641,승리,제라스,푸딩은푸딩해,11,3,16,9.0
5,641,패배,케넨,JAG S0hwan,4,6,9,2.1666666666666665
6,641,패배,렝가,죠토마킹,11,11,4,1.3636363636363635
7,641,패배,카사딘,Lucete,2,8,7,1.125
8,641,패배,루시안,먹는건즐거워,7,8,6,1.625
9,641,패배,알리스타,토마토페이스트,2,9,10,1.3333333333333333
10,642,패배,나르,Delicious Fish,10,6,8,3.0
11,642,패배,자르반 4세,XinyiQAQ,5,9,15,2.2222222222222223
12,642,패배,다이애나,이야공,12,8,8,2.5
13,642,패배,진,점점나의마음이끌,2,9,14,1.7777777777777777
14,642,패배,제라스,푸딩은푸딩해,4,10,9,1.3
15,642,승리,갱플랭크,피넛사냥개2,4,7,15,2.7142857142857144
16,642,승리,렝가,죠토마킹,11,6,9,3.3333333333333335
17,642,승리,조이,멘탈 실력 운,4,10,11,1.5
18,642,승리,미스 포츈,원딜둥이,14,5,13,5.4
19,642,승리,마오카이,진쟤승,9,5,22,6.2
20,643,승리,쉔,우철짱123,11,4,17,7.0
21,643,승리,아이번,kenzhu9,5,2,23,14.0
22,643,승리,탈리야,푸딩은푸딩해,11,5,7,3.6
23,643,승리,바루스,sqb,6,8,21,3.375
24,643,승리,레오나,XinyiQAQ,3,3,22,8.333333333333334
25,643,패배,말파이트,바보처럼 왜,2,7,6,1.1428571428571428
26,643,패배,자르반 4세,피넛사냥개1,8,10,9,1.7
27,643,패배,아지르,chirchri,4,4,5,2.25
28,643,패배,진,원딜둥이,7,6,5,2.0
29,643,패배,마오카이,진쟤승,1,9,10,1.2222222222222223
30,644,패배,나르,우철짱123,2,3,9,3.6666666666666665
31,644,패배,카직스,으아으앙으아앙,9,8,8,2.125
32,644,패배,트위스티드 페이트,TeachersWu,5,2,9,7.0
33,644,패배,미스 포츈,푸딩은푸딩해,5,8,10,1.875
34,644,패배,소라카,진쟤승,2,8,14,2.0
35,644,승리,쉔,원딜둥이,1,7,9,1.4285714285714286
36,644,승리,아이번,kenzhu9,2,4,19,5.25
37,644,승리,라이즈,KDM PERT,6,4,3,2.25
38,644,승리,트리스타나,SnakeLight,13,3,8,7.0
39,644,승리,알리스타,호잇이,7,5,17,4.8
40,645,패배,라이즈,푸딩은푸딩해,0,10,5,0.5
41,645,패배,카직스,kenzhu9,4,6,2,1.0
42,645,패배,아지르,KDM PERT,3,5,3,1.2
43,645,패배,진,마이엠브,2,4,4,1.5
44,645,패배,알리스타,Nova1,0,4,5,1.25
45,645,승리,제이스,Heiz4,6,6,6,2.0
46,645,승리,니달리,DS XiaoPeng,3,1,8,11.0
47,645,승리,탈리야,으아으앙으아앙,10,1,5,15.0
48,645,승리,미스 포츈,SnakeLight,10,0,4,inf
49,645,승리,레오나,호잇이,0,1,12,12.0
50,646,패배,갈리오,푸딩은푸딩해,5,5,3,1.6
51,646,패배,렝가,마이엠브,8,6,5,2.1666666666666665
52,646,패배,트위스티드 페이트,상어가족,4,4,10,3.5
53,646,패배,진,Yumemiru Shonen,2,7,8,1.4285714285714286
54,646,패배,쉔,Nova1,3,7,8,1.5714285714285714
55,646,승리,갱플랭크,피넛사냥개2,3,5,12,3.0
56,646,승리,카직스,kenzhu9,12,4,3,3.75
57,646,승리,카타리나,find myself,6,6,11,2.8333333333333335
58,646,승리,시비르,비 브이 오 와이,8,1,10,18.0
59,646,승리,카르마,쌀국수뚝붸기,0,6,12,2.0
60,647,패배,자르반 4세,Yeeclipse,8,7,12,2.857142857142857
61,647,패배,세주아니,마이엠브,4,5,15,3.8
62,647,패배,탈리야,푸딩은푸딩해,8,7,7,2.142857142857143
63,647,패배,진,GALA,8,8,9,2.125
64,647,패배,브라움,YOYOuuuuuO,0,6,20,3.3333333333333335
65,647,승리,나르,FeelsCoffeeMan,8,6,12,3.3333333333333335
66,647,승리,카직스,커닝시티 피그미,15,5,3,3.6
67,647,승리,말자하,Heart,6,7,8,2.0
68,647,승리,바루스,sqb,4,4,15,4.75
69,647,승리,쉔,By myself,0,6,19,3.1666666666666665
70,648,승리,갱플랭크,이재훈다딱,6,4,10,4.0
71,648,승리,렝가,DS XiaoPeng,12,7,6,2.5714285714285716
72,648,승리,탈리야,푸딩은푸딩해,9,5,13,4.4
73,648,승리,진,수지Suzy,3,6,12,2.5
74,648,승리,브라움,마이엠브,1,4,14,3.75
75,648,패배,오른,Co1dplay,3,6,10,2.1666666666666665
76,648,패배,카직스,갱만가드림,7,7,7,2.0
77,648,패배,블라디미르,PawN God,4,8,8,1.5
78,648,패배,이즈리얼,PuncHh,11,4,9,5.0
79,648,패배,쓰레쉬,강고릴,1,6,18,3.1666666666666665
80,649,승리,갈리오,푸딩은푸딩해,4,4,20,6.0
81,649,승리,자르반 4세,chijixuanshou,10,4,17,6.75
82,649,승리,베이가,ZhanQiHuaYm,14,3,8,7.333333333333333
83,649,승리,진,상어가족,10,3,13,7.666666666666667
84,649,승리,모르가나,BtC Joker,6,7,22,4.0
85,649,패배,제이스,Co1dplay,7,9,3,1.1111111111111112
86,649,패배,세주아니,마이엠브,1,4,10,2.75
87,649,패배,아지르,삼성갤럭시 Crown,3,13,3,0.46153846153846156
88,649,패배,바루스,PawN God,3,8,11,1.75
89,649,패배,쓰레쉬,강고릴,6,10,11,1.7
90,650,승리,마오카이,나는야베이베이1,3,1,9,12.0
91,650,승리,카직스,PuncHh,8,1,3,11.0
92,650,승리,탈리야,푸딩은푸딩해,6,1,2,8.0
93,650,승리,진,FeelsCoffeeMan,1,0,6,inf
94,650,승리,카르마,Empmuyi,0,5,5,1.0
95,650,패배,나르,FeelsIronMan,2,10,0,0.2
96,650,패배,세주아니,wo yao qu daye,0,0,3,inf
97,650,패배,라이즈,ROYG,0,3,2,0.6666666666666666
98,650,패배,미스 포츈,YM  zhongdan,5,3,0,1.6666666666666667
99,650,패배,알리스타,삼성갤럭시CoreJJ,1,2,2,1.5
100,651,패배,나르,담원 너구리,2,5,1,0.6
101,651,패배,렉사이,Wilder,1,5,5,1.2
102,651,패배,탈리야,푸딩은푸딩해,4,7,4,1.1428571428571428
103,651,패배,진,FeelsAwesomeMan,8,5,5,2.6
104,651,패배,알리스타,나는야베이베이1,1,6,9,1.6666666666666667
105,651,승리,카밀,chijixuanshou,6,3,6,4.0
106,651,승리,세주아니,P2k Key,5,3,11,5.333333333333333
107,651,승리,베이가,ZhanQiHuaYm,9,1,6,15.0
108,651,승리,자야,YM  zhongdan,7,5,8,3.0
109,651,승리,카르마,DS XiaoPeng,1,4,17,4.5
110,652,패배,카밀,mianma,4,5,1,1.0
111,652,패배,세주아니,Believe in Allah,3,3,7,3.3333333333333335
112,652,패배,아지르,푸딩은푸딩해,2,2,3,2.5
113,652,패배,트리스타나,whisper snow,2,2,1,1.5
114,652,패배,브라움,atlenismydaddy,0,3,2,0.6666666666666666
115,652,승리,잭스,나네쫓다꿈소년,8,3,4,4.0
116,652,승리,쉬바나,M1anhua,3,2,3,3.0
117,652,승리,라이즈,ktmgs,2,4,3,1.25
118,652,승리,칼리스타,P2k Key,1,2,7,4.0
119,652,승리,알리스타,어두운결과,1,0,6,inf
120,653,패배,제이스,Heiz4,11,8,6,2.125
121,653,패배,카직스,w1sdom ovo,5,8,8,1.625
