,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1141,승리,마오카이,니달리버프좀해줘,7,6,11,3.0
1,1141,승리,쉬바나,작전동 노란머리,12,4,10,5.5
2,1141,승리,라이즈,제1막,8,4,11,4.75
3,1141,승리,미스 포츈,학식먹을나이,6,2,12,9.0
4,1141,승리,알리스타,160810,3,5,17,4.0
5,1141,패배,초가스,RVS Poss,5,6,5,1.6666666666666667
6,1141,패배,카직스,해운대잠만보,7,8,6,1.625
7,1141,패배,오리아나,LFT MID,4,7,9,1.8571428571428572
8,1141,패배,트리스타나,호주 AD,4,8,4,1.0
9,1141,패배,블리츠크랭크,JAG S0hwan,1,7,12,1.8571428571428572
10,1142,패배,사이온,학식먹을나이,4,7,0,0.5714285714285714
11,1142,패배,엘리스,chirchri,0,7,4,0.5714285714285714
12,1142,패배,아지르,이치방츠요이야츠,5,5,2,1.4
13,1142,패배,이즈리얼,비 브이 오 와이,0,5,3,0.6
14,1142,패배,카르마,호경모드,2,1,3,5.0
15,1142,승리,갱플랭크,JAG S0hwan,8,3,7,5.0
16,1142,승리,자르반 4세,니달리버프좀해줘,8,2,13,10.5
17,1142,승리,오리아나,제1막,5,1,6,11.0
18,1142,승리,바루스,튀자튀자아,3,4,6,2.25
19,1142,승리,나미,꼬맹이전쟁,1,1,14,15.0
20,1143,승리,제이스,JAG S0hwan,5,4,9,3.5
21,1143,승리,렝가,twice손채영,8,4,9,4.25
22,1143,승리,르블랑,chirchri,6,2,4,5.0
23,1143,승리,칼리스타,학식먹을나이,7,0,10,inf
24,1143,승리,블리츠크랭크,IgNar,3,1,13,16.0
25,1143,패배,마오카이,오뚜기3분미트볼,3,7,1,0.5714285714285714
26,1143,패배,자르반 4세,FeelsPepsiMan,4,6,5,1.5
27,1143,패배,아지르,Hide on bush,1,4,6,1.75
28,1143,패배,진,fndasjkfkqw,3,5,0,0.6
29,1143,패배,탐 켄치,12월27,0,7,5,0.7142857142857143
30,1144,승리,카밀,돌잔치때도란잡음,5,7,3,1.1428571428571428
31,1144,승리,리 신,성혁님미드가신다,16,3,13,9.666666666666666
32,1144,승리,탈리야,xiaolonda,12,5,14,5.2
33,1144,승리,루시안,학식먹을나이,6,4,16,5.5
34,1144,승리,쉔,DWG BeryL,4,5,17,4.2
35,1144,패배,갱플랭크,오뚜기3분미트볼,12,3,10,7.333333333333333
36,1144,패배,렉사이,담원 얼라이브,5,12,4,0.75
37,1144,패배,제이스,진에어 테디,3,14,6,0.6428571428571429
38,1144,패배,진,AGanQAQ,4,8,7,1.375
39,1144,패배,잔나,YOYOuuuuuO,0,6,13,2.1666666666666665
40,1145,패배,갱플랭크,YOYOuuuuuO,5,4,6,2.75
41,1145,패배,렉사이,Jin air Yaharong,5,5,8,2.6
42,1145,패배,조이,Fotune,11,4,4,3.75
43,1145,패배,진,학식먹을나이,1,5,10,2.2
44,1145,패배,레오나,SKT T1 WoIf,2,6,11,2.1666666666666665
45,1145,승리,마오카이,Possible tts,4,5,5,1.8
46,1145,승리,렝가,cbzOvO,5,6,9,2.3333333333333335
47,1145,승리,트위스티드 페이트,상어가족,4,4,6,2.5
48,1145,승리,미스 포츈,fndasjkfkqw,4,5,13,3.4
49,1145,승리,쉔,DWG BeryL,6,4,12,4.5
50,1146,패배,사이온,우르프rider,3,7,9,1.7142857142857142
51,1146,패배,자크,PeanuToT,6,7,8,2.0
52,1146,패배,제라스,피넛사냥개1,5,8,6,1.375
53,1146,패배,진,학식먹을나이,5,6,5,1.6666666666666667
54,1146,패배,소라카,YOYOuuuuuO,3,7,10,1.8571428571428572
55,1146,승리,제이스,우철짱123,11,7,9,2.857142857142857
56,1146,승리,니달리,PuncHh,7,3,9,5.333333333333333
57,1146,승리,르블랑,마산가자,8,3,10,6.0
