,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,841,승리,갱플랭크,최초공개할게요오,5,2,13,9.0
1,841,승리,쉬바나,yizhiyu,3,6,13,2.6666666666666665
2,841,승리,라이즈,KDM 유준,6,3,4,3.3333333333333335
3,841,승리,바루스,쌀국수뚝붸기,9,3,5,4.666666666666667
4,841,승리,제라스,호잇이,9,0,11,inf
5,841,패배,이렐리아,승 로,3,5,3,1.2
6,841,패배,니달리,PeanuToT,4,6,6,1.6666666666666667
7,841,패배,조이,PawN God,3,4,5,2.0
8,841,패배,미스 포츈,Afreeca Kramer,3,8,3,0.75
9,841,패배,소라카,YOYOuuuuuO,1,9,7,0.8888888888888888
10,842,승리,쉔,원딜둥이,1,7,9,1.4285714285714286
11,842,승리,아이번,kenzhu9,2,4,19,5.25
12,842,승리,라이즈,KDM PERT,6,4,3,2.25
13,842,승리,트리스타나,SnakeLight,13,3,8,7.0
14,842,승리,알리스타,호잇이,7,5,17,4.8
15,842,패배,나르,우철짱123,2,3,9,3.6666666666666665
16,842,패배,카직스,으아으앙으아앙,9,8,8,2.125
17,842,패배,트위스티드 페이트,TeachersWu,5,2,9,7.0
18,842,패배,미스 포츈,푸딩은푸딩해,5,8,10,1.875
19,842,패배,소라카,진쟤승,2,8,14,2.0
20,843,승리,제이스,Heiz4,6,6,6,2.0
21,843,승리,니달리,DS XiaoPeng,3,1,8,11.0
22,843,승리,탈리야,으아으앙으아앙,10,1,5,15.0
23,843,승리,미스 포츈,SnakeLight,10,0,4,inf
24,843,승리,레오나,호잇이,0,1,12,12.0
25,843,패배,라이즈,푸딩은푸딩해,0,10,5,0.5
26,843,패배,카직스,kenzhu9,4,6,2,1.0
27,843,패배,아지르,KDM PERT,3,5,3,1.2
28,843,패배,진,마이엠브,2,4,4,1.5
29,843,패배,알리스타,Nova1,0,4,5,1.25
30,844,승리,갱플랭크,지현이의빗자루,3,6,8,1.8333333333333333
31,844,승리,렝가,IGS Coli,11,4,6,4.25
32,844,승리,라이즈,FeelsCoffeeMan,1,4,7,2.0
33,844,승리,미스 포츈,VIP 민형,11,2,8,9.5
34,844,승리,레오나,호잇이,3,2,17,10.0
35,844,패배,오른,Delicious Fish,5,4,4,2.25
36,844,패배,카직스,Removed Enterkey,9,6,3,2.0
37,844,패배,카사딘,멘탈 실력 운,0,5,2,0.4
38,844,패배,진,점점나의마음이끌,2,4,2,1.0
39,844,패배,나미,YOYOuuuuuO,2,10,3,0.5
40,845,승리,갱플랭크,chijixuanshou,8,5,10,3.6
41,845,승리,자르반 4세,ZhanQiHuaYm,4,4,20,6.0
42,845,승리,말자하,APK Rainbow,8,6,12,3.3333333333333335
43,845,승리,미스 포츈,FeelsAwesomeMan,8,6,9,2.8333333333333335
44,845,승리,레오나,호잇이,3,7,15,2.5714285714285716
45,845,패배,루시안,Removed Enterkey,7,8,10,2.125
46,845,패배,니달리,DS XiaoPeng,8,7,7,2.142857142857143
