,0
0,deft123456
1,Tar2an
2,SKT T1 Untara
3,yizhiyu
4,11 14 9 7 8 20
5,Longzhu Cuzz
6,LPL noob ad QAQ
7,Hide on bush
8,ROX Iava
9,bbq Tempt
10,bbq bono33
11,K T
12,아라가키 유이
13,Afreeca Aiming
14,DWG Nuguri
15,KT MATA
16,T 1 a n
17,DWG BeryL
18,MVP ADD
19,Kingen
20,YM  zhongdan
21,박투신
22,Yaharong
23,Megalia
24,MataMataMata
25,DWG ShowMaker
26,Sakura Devil
27,PawN God
28,아이러니
29,뒷텔와드점
30,UaoDE0
31,츠코파이
32,6학년4반장용준
33,푸딩은푸딩해
34,FeelsPepsiMan
35,담원 너구리
36,find myself
37,SnakeLight
38,FeelsWowMan
39,IGS Doran
40,슬프다고말하면
41,담원 크러쉬
42,twice손채영
43,호잇이
44,160810
45,피넛사냥개1
46,KDM SSol
47,로리쇼타조아욘
48,빅파이초코파이
49,백수 Rain1ng
50,KDM Roach
51,IgNar
52,Afreeca Summit
53,real gankster
54,Afreeca Kramer
55,단군의청춘부재
56,FeelsG00DMan
57,학식먹을나이
58,KDM U jun
59,송하영 팬
60,Cuz2
61,양갱뿌
62,H Dean
63,So1o
64,은종섭
65,ROX Hoon
66,FeelsSosoMan
67,43480287del
68,MVP Ian
69,FVV BETTY
70,구직자 쭈스
71,원딜둥이
72,남 탓 보 다 반성
73,커닝시티 피그미
74,천점못찍는벌레
75,담원 얼라이브
76,토마토페이스트
77,Afreeca M0wgli
78,appearflawless
79,먹는건즐거워
80,쪼렙이다말로하자
81,Kerla
82,GabrielCRO
83,오뚜기3분미트볼
84,미율치에오
85,멘탈과실력을겸비
86,RVS Poss
87,진에어 테디
88,루시퍼메이데이
89,진쟤승
90,오억만
91,Dutch Coffee
92,XinyiQAQ
93, hf ghkyu
94,fengquyunbuhui
95,트와이스 원스
96,Hades9
97,JAG S0hwan
98,유내현
99,길동이에유
100,천천히올라감
101,YserAoA
102,RRRuleRRR
103,DAN Ggoong
104,Fabu
105,브리즈번
106,누구를 위한
107,PeanuToT
108,담원 쇼메이커
109,reMember Mistake
110,Greed A Pride
111,삼성갤럭시 cuvee
